GEOID,B11001_003E,B11001_004E,B11001_009E,B11001_008E,B11001_001E
g361031101011,374,16,0,76,466
g361031101012,580,39,6,56,681
g361031101021,475,71,0,67,613
g361031101022,251,68,0,43,362
g361031101023,212,31,31,111,385
g361031101024,281,19,17,56,373
g361031102001,256,23,20,103,402
g361031102002,179,10,16,130,335
g361031102003,175,22,0,61,258
g361031102004,305,66,13,286,670
g361031102005,220,56,21,60,357
g361031103001,194,25,11,36,266
g361031103002,309,84,9,112,514
g361031103003,211,47,48,88,394
g361031103004,272,72,21,196,561
g361031103005,198,50,5,53,306
g361031104011,211,23,0,32,266
g361031104012,480,76,23,119,698
g361031104021,375,123,18,72,588
g361031104022,343,95,0,125,563
g361031105011,610,92,10,80,792
g361031105012,184,20,9,26,239
g361031105021,301,55,45,101,502
g361031105022,321,36,9,114,480
g361031106001,367,76,88,157,688
g361031106002,533,54,0,80,667
g361031106003,492,71,50,171,784
g361031106004,266,41,18,211,536
g361031106005,148,74,0,36,258
g361031108011,349,38,0,142,529
g361031108012,164,16,7,33,220
g361031108031,292,0,14,57,363
g361031108032,484,90,0,179,753
g361031108033,302,0,15,101,418
g361031108034,217,35,0,187,439
g361031109011,142,70,23,116,351
g361031109012,76,41,13,93,223
g361031109013,247,115,60,209,631
g361031109021,112,151,15,51,329
g361031109022,146,203,26,113,488
g361031109023,214,109,33,201,557
g361031110011,241,43,22,124,430
g361031110012,207,63,45,128,443
g361031110021,85,58,8,60,211
g361031110022,203,85,11,81,380
g361031110023,277,161,30,7,475
g361031110024,236,68,37,199,540
g361031111001,402,221,59,225,907
g361031111002,282,117,0,104,503
g361031111003,148,95,0,66,309
g361031111004,247,149,30,83,509
g361031111005,215,54,0,94,363
g361031112011,141,156,67,7,371
g361031112012,221,145,0,47,413
g361031112013,175,19,27,99,320
g361031112021,458,102,78,224,862
g361031112022,86,73,23,48,230
g361031112023,276,47,10,82,415
g361031113001,400,94,22,94,610
g361031113002,502,52,6,46,606
g361031113003,266,40,6,33,345
g361031114011,259,55,38,98,450
g361031114021,413,65,0,51,529
g361031114022,424,21,17,67,529
g361031114023,235,18,12,23,288
g361031114024,192,70,0,124,386
g361031115031,187,45,20,18,270
g361031115032,396,119,22,92,629
g361031115033,257,37,0,440,734
g361031115041,342,61,20,55,478
g361031115051,515,131,8,118,772
g361031115052,142,76,32,68,318
