B25024_002E,"1, detached"
B11001_001E,Total:
NAME,Geographic Area Name
B25024_002M,"Margin Of Error For!!1, detached"
GEOID,Geographic Identifier
B25024_005M,Margin Of Error For!!3 or 4
B25024_004M,Margin Of Error For!!2
B25024_007E,10 to 19
B25024_006E,5 to 9
B25024_009M,Margin Of Error For!!50 or more
B25024_008M,Margin Of Error For!!20 to 49
B25024_003M,"Margin Of Error For!!1, attached"
B25024_005E,3 or 4
B25024_004E,2
B25024_007M,Margin Of Error For!!10 to 19
B25024_006M,Margin Of Error For!!5 to 9
B25024_009E,50 or more
B25024_008E,20 to 49
B25024_003E,"1, attached"
