GEOID,B25024_001E,B25024_002E,B25024_003E,B25024_004E,B25024_005E,B25024_006E,B25024_007E,B25024_008E,B25024_009E
g361031101011,509,509,0,0,0,0,0,0,0
g361031101012,731,731,0,0,0,0,0,0,0
g361031101021,640,630,10,0,0,0,0,0,0
g361031101022,396,362,0,34,0,0,0,0,0
g361031101023,398,365,33,0,0,0,0,0,0
g361031101024,373,356,7,10,0,0,0,0,0
g361031102001,417,371,46,0,0,0,0,0,0
g361031102002,432,200,104,109,0,0,19,0,0
g361031102003,273,273,0,0,0,0,0,0,0
g361031102004,670,442,58,0,153,17,0,0,0
g361031102005,400,310,0,47,0,43,0,0,0
g361031103001,276,272,4,0,0,0,0,0,0
g361031103002,514,504,10,0,0,0,0,0,0
g361031103003,416,292,0,16,53,0,33,22,0
g361031103004,577,456,50,50,10,11,0,0,0
g361031103005,312,312,0,0,0,0,0,0,0
g361031104011,272,272,0,0,0,0,0,0,0
g361031104012,714,695,0,0,0,0,0,0,19
g361031104021,588,573,0,0,0,0,0,0,0
g361031104022,627,579,8,11,0,0,0,0,0
g361031105011,852,818,18,16,0,0,0,0,0
g361031105012,263,251,0,0,12,0,0,0,0
g361031105021,560,473,13,74,0,0,0,0,0
g361031105022,480,423,0,57,0,0,0,0,0
g361031106001,705,546,0,68,24,0,0,52,15
g361031106002,711,613,0,15,61,0,0,0,0
g361031106003,833,667,27,85,0,54,0,0,0
g361031106004,610,376,0,86,113,35,0,0,0
g361031106005,318,231,87,0,0,0,0,0,0
g361031108011,582,582,0,0,0,0,0,0,0
g361031108012,277,241,13,15,0,0,0,0,0
g361031108031,405,405,0,0,0,0,0,0,0
g361031108032,782,682,14,31,55,0,0,0,0
g361031108033,447,447,0,0,0,0,0,0,0
g361031108034,487,470,17,0,0,0,0,0,0
g361031109011,380,223,48,29,69,0,0,11,0
g361031109012,250,191,0,50,0,0,0,0,0
g361031109013,631,377,63,100,75,16,0,0,0
g361031109021,353,266,8,19,19,34,0,0,7
g361031109022,565,231,118,0,101,9,0,24,41
g361031109023,580,533,7,20,0,13,0,0,7
g361031110011,441,352,54,35,0,0,0,0,0
g361031110012,443,329,17,24,24,0,0,36,13
g361031110021,211,8,96,29,59,9,0,0,10
g361031110022,429,328,22,71,8,0,0,0,0
g361031110023,475,388,0,33,32,22,0,0,0
g361031110024,540,396,77,21,0,37,9,0,0
g361031111001,907,740,0,116,20,31,0,0,0
g361031111002,523,455,40,0,0,0,28,0,0
g361031111003,309,298,0,11,0,0,0,0,0
g361031111004,509,409,38,62,0,0,0,0,0
g361031111005,363,363,0,0,0,0,0,0,0
g361031112011,440,308,0,132,0,0,0,0,0
g361031112012,421,372,0,22,27,0,0,0,0
g361031112013,320,297,0,23,0,0,0,0,0
g361031112021,963,762,26,101,10,0,64,0,0
g361031112022,285,230,0,32,11,0,0,12,0
g361031112023,415,340,28,34,13,0,0,0,0
g361031113001,676,586,59,24,0,0,0,0,7
g361031113002,606,606,0,0,0,0,0,0,0
