GEOID,B25024_002M,B25024_003M,B25024_004M,B25024_005M,B25024_006M,B25024_007M,B25024_008M,B25024_009M
g361031101011,77,11,11,11,11,11,11,11
g361031101012,93,11,11,11,11,11,11,11
g361031101021,94,16,11,11,11,11,11,11
g361031101022,67,11,51,11,11,11,11,11
g361031101023,65,20,11,11,11,11,11,11
g361031101024,66,11,15,11,11,11,11,11
g361031102001,84,26,11,11,11,11,11,11
g361031102002,96,65,97,11,11,31,11,11
g361031102003,78,11,11,11,11,11,11,11
g361031102004,101,70,11,72,26,11,11,11
g361031102005,82,11,74,11,69,11,11,11
g361031103001,44,6,11,11,11,11,11,11
g361031103002,79,14,11,11,11,11,11,11
g361031103003,79,11,25,40,11,37,25,11
g361031103004,85,74,62,16,16,11,11,11
g361031103005,44,11,11,11,11,11,11,11
g361031104011,44,11,11,11,11,11,11,11
g361031104012,60,11,11,11,11,11,11,29
g361031104021,83,11,11,11,11,11,11,11
g361031104022,100,13,18,11,11,11,11,11
g361031105011,59,19,24,11,11,11,11,11
g361031105012,46,11,11,20,11,11,11,11
g361031105021,60,21,51,11,11,11,11,11
g361031105022,54,11,66,11,11,11,11,11
g361031106001,89,11,70,38,11,11,38,26
g361031106002,137,11,24,60,11,11,11,11
g361031106003,103,23,75,11,42,11,11,11
g361031106004,111,11,82,84,42,11,11,11
g361031106005,75,98,11,11,11,11,11,11
g361031108011,40,11,11,11,11,11,11,11
g361031108012,35,12,25,11,11,11,11,11
g361031108031,92,11,11,11,11,11,11,11
g361031108032,127,23,38,75,11,11,11,11
g361031108033,89,11,11,11,11,11,11,11
g361031108034,88,28,11,11,11,11,11,11
g361031109011,54,55,39,69,11,11,18,11
g361031109012,65,11,51,11,11,11,11,11
g361031109013,64,43,64,53,19,11,11,11
g361031109021,76,13,30,23,44,11,11,10
g361031109022,73,54,11,51,13,11,22,35
g361031109023,77,11,24,11,18,11,11,11
g361031110011,57,28,32,11,11,11,11,11
g361031110012,70,18,19,32,11,11,34,14
g361031110021,14,41,47,54,14,11,11,15
g361031110022,64,27,65,13,11,11,11,11
g361031110023,90,11,52,51,36,11,11,11
g361031110024,93,31,23,11,60,13,11,11
g361031111001,189,11,112,33,37,11,11,11
g361031111002,145,61,11,11,11,48,11,11
g361031111003,100,11,24,11,11,11,11,11
g361031111004,110,33,61,11,11,11,11,11
g361031111005,148,11,11,11,11,11,11,11
g361031112011,89,11,96,11,11,11,11,11
g361031112012,89,11,24,43,11,11,11,11
g361031112013,87,11,25,11,11,11,11,11
g361031112021,117,40,68,16,11,56,11,11
g361031112022,70,11,52,19,11,11,19,11
g361031112023,79,35,36,20,11,11,11,11
g361031113001,81,51,37,11,11,11,11,11
g361031113002,71,11,11,11,11,11,11,11
g361031113003,61,22,11,11,11,11,11,11
g361031114011,15,11,6,11,11,11,7,11
g361031114021,78,26,11,11,11,11,11,13
g361031114022,86,11,19,11,11,11,11,11
g361031114023,93,11,11,11,11,11,11,11
g361031114024,85,11,56,11,11,11,11,11
g361031115031,63,11,11,11,11,11,11,11
g361031115032,80,20,11,11,11,11,11,11
g361031115033,67,35,42,30,47,82,18,22
g361031115041,45,33,35,11,11,11,13,11
g361031115051,100,26,22,11,11,11,11,11
g361031115052,82,25,39,11,11,11,11,11
g361031115053,83,11,11,11,11,11,11,11
g361031115054,124,28,60,11,11,11,11,11
g361031115061,74,11,11,11,11,11,11,11
g361031115062,89,54,17,11,11,33,11,28
g361031116011,82,11,41,11,11,11,11,11
g361031116012,86,45,65,10,15,11,11,11
g361031116021,70,11,22,11,11,11,11,11
g361031116022,69,13,45,11,18,11,11,11
g361031117011,92,11,28,11,43,11,11,11
g361031117012,97,34,11,83,11,11,11,11
g361031117013,87,11,28,61,11,11,11,11
g361031117014,104,11,48,38,11,71,21,11
g361031117015,91,11,32,11,11,11,11,11
g361031117031,45,11,11,11,11,11,11,15
g361031117032,75,12,11,11,31,11,40,61
g361031117041,48,20,11,11,11,11,11,17
g361031117042,49,11,11,11,11,11,11,11
g361031117043,64,10,12,11,11,11,11,11
g361031118011,89,11,11,11,11,11,11,11
g361031118012,135,11,11,11,11,11,11,11
g361031118013,121,11,11,11,11,11,11,11
g361031118014,60,11,11,11,38,11,11,11
g361031118021,50,11,14,11,11,11,11,7
g361031118022,48,11,11,11,9,11,11,11
g361031118031,49,11,11,11,11,11,11,11
g361031118032,43,11,11,11,11,11,11,11
g361031118041,37,20,11,11,11,11,11,11
g361031119001,63,11,11,11,11,11,11,11
g361031119002,74,43,17,11,11,19,11,11
g361031119003,67,11,11,11,11,11,11,11
g361031119004,73,16,11,11,11,11,11,11
g361031119005,70,48,11,11,11,11,11,11
g361031120011,88,22,18,11,11,11,11,11
g361031120012,116,37,83,11,14,11,11,11
g361031120021,86,11,11,11,11,11,11,53
g361031120022,59,11,20,11,11,11,11,11
g361031120023,77,11,11,11,13,11,11,11
g361031121021,79,11,11,11,11,11,11,11
g361031121022,78,11,11,11,11,11,11,11
g361031121031,65,11,11,11,11,11,11,11
g361031121032,81,11,11,11,11,11,11,11
g361031121033,82,36,11,11,11,11,11,66
g361031121041,52,28,39,11,11,11,11,11
g361031122041,54,11,15,11,11,11,11,11
g361031122042,59,11,21,11,11,11,11,11
g361031122043,64,19,11,11,11,11,11,11
g361031122061,55,137,55,80,35,117,66,11
g361031122062,100,81,35,26,20,11,11,11
g361031122063,130,57,44,28,34,41,40,24
g361031122064,90,11,11,11,11,11,11,11
g361031122101,101,11,11,11,11,11,11,11
g361031122102,100,46,11,11,39,11,11,11
g361031122103,118,64,11,40,11,69,11,42
g361031122104,136,28,11,11,11,11,11,11
g361031122111,96,11,11,11,11,11,11,37
g361031122112,83,11,11,11,11,11,11,11
g361031122113,69,11,11,11,11,11,11,11
g361031122121,65,11,11,11,11,11,11,11
g361031122122,64,11,30,11,11,11,11,11
g361031122131,83,56,11,11,11,11,11,11
g361031122132,66,41,11,11,11,11,11,11
g361031122133,74,11,43,11,11,11,11,11
g361031122141,105,11,13,11,33,11,11,11
g361031122142,115,11,11,11,11,11,11,11
g361031122143,114,147,63,42,68,55,49,41
g361031122144,68,11,11,11,11,11,11,11
g361031223001,80,19,23,11,11,11,34,80
g361031223002,91,17,61,11,11,11,11,18
g361031224031,60,44,16,9,30,7,14,18
g361031224032,61,11,6,20,11,11,11,11
g361031224041,73,8,32,11,11,11,11,11
g361031224042,72,8,18,11,11,11,11,11
g361031224051,60,14,11,11,11,11,11,11
g361031224052,53,11,11,11,11,11,11,11
g361031224061,106,15,11,11,11,11,11,41
g361031224062,99,11,21,11,11,11,11,11
g361031224063,99,11,18,11,51,11,11,11
g361031225011,78,27,20,11,11,11,47,24
g361031225012,82,32,29,11,11,27,11,38
