B25034_009E,Built 1940 to 1949
B25034_004M,Margin of Error for!!Built 1990 to 1999
B25034_005M,Margin of Error for!!Built 1980 to 1989
B11001_001E,Total:
NAME,Geographic Area Name
B25034_009M,Margin of Error for!!Built 1940 to 1949
B25034_004E,Built 1990 to 1999
B25034_005E,Built 1980 to 1989
B25034_010E,Built 1939 or earlier
GEOID,Geographic Identifier
B25034_006E,Built 1970 to 1979
B25034_007E,Built 1960 to 1969
B25034_002M,Margin of Error for!!Built 2010 or later
B25034_003M,Margin of Error for!!Built 2000 to 2009
B25034_008M,Margin of Error for!!Built 1950 to 1959
B25034_006M,Margin of Error for!!Built 1970 to 1979
B25034_007M,Margin of Error for!!Built 1960 to 1969
B25034_010M,Margin of Error for!!Built 1939 or earlier
B25034_002E,Built 2010 or later
B25034_003E,Built 2000 to 2009
B25034_008E,Built 1950 to 1959
