B25075_016E,"$125,000 to $149,999"
B25075_011M,"Margin Of Error For!!$60,000 to $69,999"
B25075_020E,"$250,000 to $299,999"
NAME,Geographic Area Name
GEOID,Geographic Identifier
B25075_022E,"$400,000 to $499,999"
B25075_004M,"Margin Of Error For!!$15,000 to $19,999"
B25075_015E,"$100,000 to $124,999"
B25075_008M,"Margin Of Error For!!$35,000 to $39,999"
B25075_006E,"$25,000 to $29,999"
B25075_013E,"$80,000 to $89,999"
B25075_015M,"Margin Of Error For!!$100,000 to $124,999"
B25075_005E,"$20,000 to $24,999"
B25075_008E,"$35,000 to $39,999"
B25075_006M,"Margin Of Error For!!$25,000 to $29,999"
B11001_001E,Total:
B25075_002M,"Margin Of Error For!!Less than $10,000"
B25075_017M,"Margin Of Error For!!$150,000 to $174,999"
B25075_019E,"$200,000 to $249,999"
B25075_002E,"Less than $10,000"
B25075_017E,"$150,000 to $174,999"
B25075_019M,"Margin Of Error For!!$200,000 to $249,999"
B25075_010E,"$50,000 to $59,999"
B25075_011E,"$60,000 to $69,999"
B25075_025M,"Margin Of Error For!!$1,000,000 or more"
B25075_024M,"Margin Of Error For!!$750,000 to $999,999"
B25075_014E,"$90,000 to $99,999"
B25075_009M,"Margin Of Error For!!$40,000 to $49,999"
B25075_007E,"$30,000 to $34,999"
B25075_012E,"$70,000 to $79,999"
B25075_014M,"Margin Of Error For!!$90,000 to $99,999"
B25075_009E,"$40,000 to $49,999"
B25075_007M,"Margin Of Error For!!$30,000 to $34,999"
B25075_012M,"Margin Of Error For!!$70,000 to $79,999"
B25075_003M,"Margin Of Error For!!$10,000 to $14,999"
B25075_004E,"$15,000 to $19,999"
B25075_016M,"Margin Of Error For!!$125,000 to $149,999"
B25075_018E,"$175,000 to $199,999"
B25075_022M,"Margin Of Error For!!$400,000 to $499,999"
B25075_023M,"Margin Of Error For!!$500,000 to $749,999"
B25075_003E,"$10,000 to $14,999"
B25075_005M,"Margin Of Error For!!$20,000 to $24,999"
B25075_018M,"Margin Of Error For!!$175,000 to $199,999"
B25075_021M,"Margin Of Error For!!$300,000 to $399,999"
B25075_023E,"$500,000 to $749,999"
B25075_013M,"Margin Of Error For!!$80,000 to $89,999"
B25075_020M,"Margin Of Error For!!$250,000 to $299,999"
B25075_025E,"$1,000,000 or more"
B25075_024E,"$750,000 to $999,999"
B25075_021E,"$300,000 to $399,999"
B25075_010M,"Margin Of Error For!!$50,000 to $59,999"
