GEOID,B25075_001E,B25075_002E,B25075_003E,B25075_004E,B25075_005E,B25075_006E,B25075_007E,B25075_008E,B25075_009E,B25075_010E,B25075_011E,B25075_012E,B25075_013E,B25075_014E,B25075_015E,B25075_016E,B25075_017E,B25075_018E,B25075_019E,B25075_020E,B25075_021E,B25075_022E,B25075_023E,B25075_024E,B25075_025E
g361031101011,402,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,11,0,9,39,332
g361031101012,659,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,8,0,5,0,18,174,432
g361031101021,533,0,0,0,0,0,0,0,0,0,10,0,9,0,14,0,0,0,0,0,25,20,28,183,244
g361031101022,362,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,94,64,192
g361031101023,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,63,62,164,68,13
g361031101024,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,33,45,138,102,22
g361031102001,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,11,59,241,44,13
g361031102002,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,18,0,0,55,84,30,0
g361031102003,191,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,21,87,58,9
g361031102004,621,27,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,58,112,59,59,172,77,38
g361031102005,289,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,30,129,89,0
g361031103001,256,3,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,12,9,51,171
g361031103002,514,0,0,0,0,0,0,0,0,0,0,0,0,10,26,0,0,0,9,0,53,64,265,87,0
g361031103003,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,82,122,54,23,0
g361031103004,420,12,0,0,0,15,0,0,0,10,0,0,0,0,0,0,0,0,12,0,58,98,174,41,0
g361031103005,300,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,13,59,79,139
g361031104011,259,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,18,107,98,23
g361031104012,647,0,5,0,0,0,0,0,7,0,10,0,0,4,11,0,0,17,5,10,38,60,239,173,68
g361031104021,568,8,0,0,0,15,0,0,0,7,0,0,0,0,0,0,0,0,0,0,45,176,293,24,0
g361031104022,473,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,146,250,30,0
g361031105011,745,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,18,34,373,227,75
g361031105012,227,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,38,115,38,10
g361031105021,439,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,0,17,23,146,101,95,40,0
g361031105022,433,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,123,172,75,47
g361031106001,476,14,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,14,239,152,12,26
g361031106002,534,0,0,0,0,0,0,0,0,0,0,0,0,0,22,39,15,0,0,0,58,133,231,36,0
g361031106003,619,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,124,295,127,18
g361031106004,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,52,87,60,64,16
g361031106005,212,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,20,0,0,0,0,21,77,55,27
g361031108011,517,8,0,0,0,0,0,0,0,0,0,0,0,6,16,0,0,0,0,0,6,50,242,101,88
g361031108012,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,36,120
g361031108031,338,19,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,79,42,39,83,61
g361031108032,591,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,11,0,38,105,197,181,49
g361031108033,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,11,68,147,127,36
g361031108034,380,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,16,0,13,34,95,113,51,45
g361031109011,233,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,45,123,33,18
g361031109012,173,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,70,41,29,15,0
g361031109013,402,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,61,214,94,22,0
g361031109021,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,45,43,53,0,0
g361031109022,131,0,0,7,0,15,0,0,0,0,0,0,0,12,4,0,0,0,7,79,0,0,7,0,0
g361031109023,392,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,13,29,145,168,26,0,0
g361031110011,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,84,89,139,0,0
g361031110012,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,40,173,42,0,7
g361031110021,86,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,9,54,6,0,0,0
g361031110022,272,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,8,117,93,19,7,0
g361031110023,246,16,0,0,0,0,0,0,0,0,8,0,0,0,0,29,0,0,66,95,32,0,0,0,0
g361031110024,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,95,202,26,0,0,0
g361031111001,594,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,16,0,96,226,181,21,0,0,0
g361031111002,327,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,231,17,0,0,0
g361031111003,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,90,118,16,0,0
g361031111004,417,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,73,220,96,0,0,0
g361031111005,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,16,18,18,85,20,0,0
g361031112011,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,34,0,0,0,0
g361031112012,331,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,17,25,99,122,58,0,0,0
g361031112013,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,116,62,15,0,8
g361031112021,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,56,335,113,13,13,10
g361031112022,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,70,43,23,0,0,0
g361031112023,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,60,129,86,54,0,0
g361031113001,530,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,11,0,16,148,205,140,1
g361031113002,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,60,80,286,140,34
g361031113003,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,12,101,83,77
g361031114011,446,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,8,84,200,80,68,0
g361031114021,514,0,0,0,0,0,7,9,0,31,0,0,0,0,0,0,0,0,32,9,124,200,93,0,9
g361031114022,517,0,0,0,0,0,0,0,0,12,0,0,0,0,0,66,0,0,0,0,192,234,13,0,0
g361031114023,288,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,105,100,66,0,1
g361031114024,305,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,11,0,47,137,86,7,0,0
g361031115031,270,6,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,9,0,0,35,93,99,15,0
g361031115032,504,12,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,22,8,200,173,63,0,0
g361031115033,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,84,83,31,54
g361031115041,446,0,0,0,0,0,0,13,0,0,0,8,0,0,0,0,0,0,0,4,53,100,154,97,17
g361031115051,734,0,0,0,0,0,7,0,0,28,0,0,0,5,0,0,0,0,0,27,117,180,311,59,0
g361031115052,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,40,142,32,28,0,0
g361031115053,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,159,51,0,0,0
g361031115054,491,61,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26,182,161,44,0,0
g361031115061,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,55,339,140,47
g361031115062,352,17,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,67,123,77,8,0,0
g361031116011,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,57,132,216,18,0,0
g361031116012,621,11,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,262,268,51,13,0
g361031116021,550,0,0,0,0,0,0,0,0,0,12,0,0,0,19,0,0,0,17,0,141,191,151,19,0
g361031116022,460,0,0,0,0,0,11,0,0,0,12,0,0,0,0,0,8,0,19,0,137,173,100,0,0
g361031117011,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,57,19,0,0
g361031117012,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,27,161,120,90,0,0
g361031117013,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,35,66,45,10,0
g361031117014,299,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,14,94,183,0,0,0
g361031117015,446,14,0,0,0,0,0,0,13,18,0,0,0,0,0,0,0,0,19,9,103,246,24,0,0
g361031117031,252,11,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,25,34,162,10,0
g361031117032,710,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,163,299,197,24,9
g361031117041,347,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,26,38,213,45,12
g361031117042,356,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,83,108,139,9,0
g361031117043,361,0,0,0,0,0,11,0,0,0,0,0,0,0,0,9,0,0,7,23,113,175,8,7,8
g361031118011,318,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,19,77,209,0,0
g361031118012,494,16,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,92,200,164,0,11
g361031118013,802,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,39,219,275,245,7,0
g361031118014,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,158,92,21,0,13
g361031118021,552,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,79,196,203,41,13
g361031118022,304,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,64,202,9,0
g361031118031,495,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,25,191,254,7,0
g361031118032,334,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,16,0,23,122,150,12,0
g361031118041,695,13,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,14,9,111,264,226,19,24
g361031119001,447,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,20,49,32,217,120,0
g361031119002,367,0,0,0,0,0,0,0,11,0,0,0,0,0,0,13,0,0,8,0,84,125,93,33,0
g361031119003,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,93,71,35,0
g361031119004,421,13,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,9,0,82,156,87,24,40
g361031119005,317,0,0,0,0,0,0,0,0,0,0,0,0,0,34,10,0,0,0,0,0,26,53,123,71
g361031120011,506,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,13,7,257,101,97,24,0
g361031120012,913,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,9,8,45,32,450,191,150,10,0
g361031120021,572,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,50,89,299,99,29
g361031120022,418,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,109,199,74,17,0
g361031120023,423,10,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,10,17,149,124,96,0,0
g361031121021,751,0,0,0,0,0,0,0,0,0,0,19,0,0,0,7,0,0,0,0,15,44,289,322,55
g361031121022,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,58,213,171
g361031121031,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,194,6,0,0
g361031121032,617,0,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,0,0,12,294,239,29,10,9
g361031121033,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,31,102,77,59,0
g361031121041,655,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,55,26,203,140,208
g361031122041,416,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,5,47,208,134,9,0
g361031122042,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,195,124,0,0
g361031122043,443,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,168,187,70,0,0
g361031122061,684,15,0,0,0,48,0,0,0,0,0,0,20,0,0,0,36,28,10,0,115,94,295,23,0
g361031122062,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,90,152,205,57
g361031122063,918,14,0,0,0,0,0,0,0,0,0,0,15,36,0,51,77,0,64,15,19,13,78,158,378
g361031122064,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,36,89,0,12
g361031122101,382,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,48,146,149
g361031122102,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,160,231,191,47
g361031122103,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,89,209,42,7
g361031122104,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,101,292,51,31
g361031122111,557,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,353,153,29
g361031122112,440,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,14,0,0,8,48,48,266,26,17
g361031122113,309,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,21,190,81,0
g361031122121,314,0,0,0,0,0,12,0,12,0,0,0,0,9,0,0,0,0,0,0,0,0,177,68,36
g361031122122,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,46,138,204,245
g361031122131,704,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,95,254,243,45
g361031122132,371,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,119,128,84,18,0
g361031122133,459,9,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,179,130,123
g361031122141,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,12,123,0,75
g361031122142,822,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,35,124,466,168
g361031122143,1126,68,0,21,0,0,0,0,13,0,0,0,0,0,13,0,31,66,12,0,0,88,179,366,269
g361031122144,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,147,46,14
g361031223001,369,7,0,0,0,0,0,0,0,0,0,0,0,13,10,0,0,17,18,14,103,59,85,43,0
g361031223002,655,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,24,56,285,211,30,10,12
g361031224031,366,6,0,0,0,0,0,0,3,3,0,0,0,5,4,15,14,4,5,24,149,109,20,5,0
g361031224032,184,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,42,24,47,4,17,0,10
g361031224041,577,0,0,0,0,11,0,0,0,15,0,0,0,0,0,0,11,4,6,85,374,60,11,0,0
g361031224042,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,120,173,68,14,0,0
g361031224051,513,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,44,214,199,32,7,0
g361031224052,255,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,29,65,131,18,0
g361031224061,226,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,75,24,25,29,43,0,11,0,0
g361031224062,276,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,20,10,55,52,82,10,0,0,11
g361031224063,448,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,54,0,82,127,88,13,50,0,0
g361031225011,168,0,0,0,0,0,0,0,0,0,0,0,11,0,24,0,18,7,30,35,43,0,0,0,0
g361031225012,252,0,0,0,0,0,0,0,0,0,0,9,0,0,17,12,11,22,86,36,36,0,23,0,0
g361031225013,239,0,0,0,0,0,0,0,19,0,0,0,9,0,0,17,67,23,10,33,38,0,0,23,0
g361031225021,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,108,130,253,67,31,0,0
g361031225022,151,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,20,26,71,18,0,0,0
g361031225023,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,40,171,35,0,0,0
g361031226011,601,18,0,0,0,16,8,0,0,0,0,0,0,0,0,0,0,0,69,91,336,56,0,7,0
g361031226012,490,7,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,79,239,131,17,0,0
g361031226013,421,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,18,78,209,106,0,0,0
g361031226021,750,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,12,52,545,101,22,11,0
g361031226022,752,8,0,0,0,0,0,0,0,0,0,0,0,9,0,8,11,0,60,106,437,93,11,9,0
g361031226031,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,52,140,47,0,0,10
g361031226032,626,7,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,17,41,44,451,46,0,0,0
g361031226033,106,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,9,72,0,9,0,0
g361031226034,460,0,0,0,0,0,0,10,0,0,0,0,0,13,0,0,11,0,38,69,232,87,0,0,0
g361031227041,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,15,0,71,4,0,0,0
g361031227042,423,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,5,24,170,126,77,0,0
g361031227051,485,14,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,18,324,95,11,13,0
g361031227052,333,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,19,210,76,12,0,0
g361031227061,308,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,46,176,59,13,0,0
g361031227062,541,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,7,0,11,54,349,86,10,0,9
g361031227063,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,17,36,25,10,0,11
g361031227071,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,33,74,296,91,14,0,0
g361031227072,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,95,211,81,24,0,0
g361031228011,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,161,70,49,0,0
g361031228012,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,145,118,23,0,0
