GEOID,B25075_002M,B25075_003M,B25075_004M,B25075_005M,B25075_006M,B25075_007M,B25075_008M,B25075_009M,B25075_010M,B25075_011M,B25075_012M,B25075_013M,B25075_014M,B25075_015M,B25075_016M,B25075_017M,B25075_018M,B25075_019M,B25075_020M,B25075_021M,B25075_022M,B25075_023M,B25075_024M,B25075_025M
g361031101011,4,11,11,11,11,11,11,11,11,11,11,11,8,11,11,11,7,11,11,12,11,10,22,78
g361031101012,8,11,11,11,11,11,11,11,11,11,11,11,11,13,11,12,11,9,11,8,11,15,50,65
g361031101021,11,11,11,11,11,11,11,11,11,16,11,14,11,16,11,11,11,11,11,23,21,27,65,70
g361031101022,11,11,11,11,11,11,11,11,11,11,18,11,11,11,11,11,11,11,11,11,11,49,44,47
g361031101023,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,40,34,57,47,19
g361031101024,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,30,30,60,52,17
g361031102001,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,28,11,21,43,81,48,22
g361031102002,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,26,11,28,11,11,56,58,33,11
g361031102003,11,11,11,11,11,11,11,11,11,11,11,11,26,11,11,11,11,11,11,11,25,56,34,15
g361031102004,32,11,11,11,11,11,11,11,11,11,11,11,29,11,11,11,11,69,62,42,42,90,59,36
g361031102005,24,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,28,29,57,75,11
g361031103001,5,11,11,11,11,11,11,11,11,11,5,11,11,7,11,11,11,11,11,11,9,9,25,39
g361031103002,11,11,11,11,11,11,11,11,11,11,11,11,14,40,11,11,11,15,11,41,39,99,82,11
g361031103003,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,17,62,83,38,18,11
g361031103004,17,11,11,11,23,11,11,11,15,11,11,11,11,11,11,11,11,16,11,44,45,57,32,11
g361031103005,6,11,11,11,11,11,11,11,11,11,5,11,6,11,11,11,11,11,11,11,10,32,25,36
g361031104011,11,11,11,11,11,11,11,9,11,11,11,11,11,11,11,11,11,11,11,10,16,42,33,13
g361031104012,11,8,11,11,11,11,11,10,11,11,11,11,7,12,11,11,24,7,15,39,32,57,53,37
g361031104021,12,11,11,11,24,11,11,11,11,11,11,11,11,11,11,11,11,11,11,32,70,76,22,11
g361031104022,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,27,73,70,46,11
g361031105011,11,11,11,11,11,11,11,11,11,11,14,11,11,11,11,11,11,11,13,20,26,80,78,42
g361031105012,20,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,29,31,26,15
g361031105021,11,11,11,11,11,11,11,11,11,11,11,11,13,11,11,12,11,19,34,55,38,59,33,11
g361031105022,11,11,11,11,11,11,11,11,11,11,14,11,11,11,11,11,11,11,11,12,49,54,34,33
g361031106001,22,11,11,11,11,11,11,11,31,11,11,11,11,11,11,11,11,11,11,24,85,63,19,32
g361031106002,11,11,11,11,11,11,11,11,11,11,11,11,11,35,46,25,11,11,11,48,72,76,41,11
g361031106003,34,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,32,72,100,68,28
g361031106004,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,36,11,47,64,56,48,26
g361031106005,11,11,11,11,11,11,11,11,11,11,11,11,11,18,11,32,11,11,11,11,35,56,47,29
g361031108011,11,11,11,11,11,11,11,11,11,11,11,11,9,19,11,11,11,11,11,9,28,54,39,39
g361031108012,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4,11,11,11,13,17,23
g361031108031,32,11,11,11,11,11,11,11,11,11,25,11,11,11,11,11,11,11,11,68,37,30,53,53
g361031108032,11,11,11,11,11,11,11,11,11,11,11,11,11,17,11,11,11,19,11,41,69,81,109,40
g361031108033,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,25,22,19,68,68,77,33
g361031108034,11,11,11,11,11,11,11,22,11,11,11,11,11,11,11,11,27,11,21,31,54,71,58,51
g361031109011,11,11,11,11,11,11,11,20,11,11,11,11,11,11,11,11,11,11,11,11,35,45,30,22
g361031109012,11,11,11,11,11,11,11,11,15,11,11,11,11,11,11,11,11,11,14,44,32,29,22,11
g361031109013,11,11,11,11,11,11,11,11,16,11,11,11,11,11,11,11,11,11,11,45,85,60,24,11
g361031109021,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,11,24,26,43,11,11
g361031109022,11,11,12,11,13,11,11,11,11,11,11,11,18,8,11,11,11,13,56,11,11,13,11,11
g361031109023,11,11,11,11,11,11,9,9,11,11,11,11,11,11,11,11,11,15,30,49,61,31,11,11
g361031110011,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,33,39,33,47,11,11
g361031110012,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,11,11,11,14,27,65,24,11,10
g361031110021,11,11,11,11,11,11,15,11,11,11,11,11,11,11,11,11,11,14,14,36,9,11,11,11
g361031110022,11,11,11,11,11,11,11,11,11,11,43,11,11,11,11,11,11,11,12,47,53,21,12,11
g361031110023,18,11,11,11,11,11,11,11,11,12,11,11,11,11,47,11,11,50,74,28,11,11,11,11
g361031110024,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,20,46,76,24,11,11,11
g361031111001,11,11,11,11,11,11,11,11,11,11,11,83,11,11,11,26,11,94,155,110,34,11,11,11
g361031111002,11,11,11,25,11,11,11,11,11,11,11,11,11,11,11,11,11,11,76,108,27,11,11,11
g361031111003,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,33,57,89,27,11,11
g361031111004,31,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,30,51,98,58,11,11,11
g361031111005,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,109,25,28,30,68,31,11,11
g361031112011,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,62,46,11,11,11,11
g361031112012,11,11,11,11,11,11,9,11,11,11,11,11,11,11,11,12,21,39,77,69,51,11,11,11
g361031112013,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,13,57,41,18,11,14
g361031112021,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,22,33,92,51,15,16,15
g361031112022,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,25,48,34,18,11,11,11
g361031112023,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,34,62,39,44,11,11
g361031113001,11,11,11,11,11,11,11,11,11,11,11,11,11,15,11,11,11,17,11,18,57,54,66,5
g361031113002,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,11,36,38,70,46,30
g361031113003,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,52,11,48,41,56
g361031114011,11,11,11,11,11,11,11,11,6,11,11,11,11,11,11,11,11,3,12,32,48,38,52,11
g361031114021,11,11,11,11,11,11,15,11,45,11,11,11,11,11,11,11,11,27,13,52,78,44,11,13
g361031114022,11,11,11,11,11,11,11,11,20,11,11,11,11,11,93,11,11,11,11,73,66,19,11,11
g361031114023,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,17,11,50,82,54,11,11
