B11001_001E,Total:
B25026_003E,Total population in occupied housing units:!!Owner occupied:!!Moved in 2010 or later
B25026_007M,Margin of Error for!!Total population in occupied housing units:!!Owner occupied:!!Moved in 1970 to 1979
B25026_005E,Total population in occupied housing units:!!Owner occupied:!!Moved in 1990 to 1999
B25026_003M,Margin of Error for!!Total population in occupied housing units:!!Owner occupied:!!Moved in 2010 or later
B25026_007E,Total population in occupied housing units:!!Owner occupied:!!Moved in 1970 to 1979
B25026_005M,Margin of Error for!!Total population in occupied housing units:!!Owner occupied:!!Moved in 1990 to 1999
B25026_013E,Total population in occupied housing units:!!Renter occupied:!!Moved in 1980 to 1989
B25026_011E,Total population in occupied housing units:!!Renter occupied:!!Moved in 2000 to 2009
B25026_013M,Margin of Error for!!Total population in occupied housing units:!!Renter occupied:!!Moved in 1980 to 1989
B25026_011M,Margin of Error for!!Total population in occupied housing units:!!Renter occupied:!!Moved in 2000 to 2009
B25026_015M,Margin of Error for!!Total population in occupied housing units:!!Renter occupied:!!Moved in 1969 or earlier
B25026_015E,Total population in occupied housing units:!!Renter occupied:!!Moved in 1969 or earlier
B25026_004M,Margin of Error for!!Total population in occupied housing units:!!Owner occupied:!!Moved in 2000 to 2009
B25026_006M,Margin of Error for!!Total population in occupied housing units:!!Owner occupied:!!Moved in 1980 to 1989
B25026_004E,Total population in occupied housing units:!!Owner occupied:!!Moved in 2000 to 2009
GEOID,Geographic Identifier
B25026_006E,Total population in occupied housing units:!!Owner occupied:!!Moved in 1980 to 1989
NAME,Geographic Area Name
B25026_010E,Total population in occupied housing units:!!Renter occupied:!!Moved in 2010 or later
B25026_010M,Margin of Error for!!Total population in occupied housing units:!!Renter occupied:!!Moved in 2010 or later
B25026_014M,Margin of Error for!!Total population in occupied housing units:!!Renter occupied:!!Moved in 1970 to 1979
B25026_008E,Total population in occupied housing units:!!Owner occupied:!!Moved in 1969 or earlier
B25026_012M,Margin of Error for!!Total population in occupied housing units:!!Renter occupied:!!Moved in 1990 to 1999
B25026_014E,Total population in occupied housing units:!!Renter occupied:!!Moved in 1970 to 1979
B25026_008M,Margin of Error for!!Total population in occupied housing units:!!Owner occupied:!!Moved in 1969 or earlier
B25026_012E,Total population in occupied housing units:!!Renter occupied:!!Moved in 1990 to 1999
