B03002_012M,Margin Of Error For!!Hispanic or Latino:
B03002_003E,Not Hispanic or Latino:!!White alone
B11001_001E,Total:
B03002_012E,Hispanic or Latino:
B03002_003M,Margin Of Error For!!Not Hispanic or Latino:!!White alone
B03002_006E,Not Hispanic or Latino:!!Asian alone
B03002_004E,Not Hispanic or Latino:!!Black or African American alone
B03002_006M,Margin Of Error For!!Not Hispanic or Latino:!!Asian alone
GEOID,Geographic Identifier
B03002_004M,Margin Of Error For!!Not Hispanic or Latino:!!Black or African American alone
NAME,Geographic Area Name
