GEOID,B03002_003E,B03002_004E,B03002_012E,B03002_006E
g361031101011,1374,0,48,41
g361031101012,2047,0,64,80
g361031101021,1685,0,146,21
g361031101022,941,0,15,74
g361031101023,937,0,28,27
g361031101024,1073,0,38,0
g361031102001,1055,0,85,18
g361031102002,607,0,17,16
g361031102003,560,0,96,0
g361031102004,1209,0,32,104
g361031102005,1031,0,0,0
g361031103001,544,0,37,29
g361031103002,1489,0,71,22
g361031103003,754,0,151,28
g361031103004,1138,0,46,0
g361031103005,786,0,3,20
g361031104011,789,0,63,0
g361031104012,1783,5,204,20
g361031104021,1648,0,11,8
g361031104022,1310,31,30,83
g361031105011,2471,0,41,50
g361031105012,662,0,9,20
g361031105021,1244,37,97,55
g361031105022,1326,0,47,12
g361031106001,1624,0,0,68
g361031106002,1650,0,28,123
g361031106003,1897,8,13,34
g361031106004,1118,0,94,12
g361031106005,617,0,0,43
g361031108011,1215,4,65,55
g361031108012,544,0,9,9
g361031108031,1126,39,52,53
g361031108032,2113,0,152,0
g361031108033,1061,0,30,80
g361031108034,1030,0,46,28
g361031109011,682,0,265,0
g361031109012,430,0,0,0
g361031109013,1235,0,91,0
g361031109021,420,115,575,24
g361031109022,148,480,746,7
g361031109023,1207,0,54,9
g361031110011,699,60,192,146
g361031110012,962,32,105,22
g361031110021,196,61,301,0
g361031110022,719,23,106,137
g361031110023,154,546,1951,0
g361031110024,631,190,542,36
g361031111001,930,171,1886,43
g361031111002,978,17,1066,57
g361031111003,437,181,328,97
g361031111004,566,0,1113,101
g361031111005,698,0,362,0
g361031112011,252,154,1607,0
g361031112012,779,126,771,0
g361031112013,707,41,14,82
g361031112021,1697,280,434,41
g361031112022,317,0,277,0
g361031112023,690,64,361,106
g361031113001,1669,16,35,56
g361031113002,1707,0,129,8
g361031113003,978,102,0,0
g361031114011,1187,27,39,7
g361031114021,1498,110,50,25
g361031114022,1510,0,117,44
g361031114023,627,0,145,33
g361031114024,785,0,39,131
g361031115031,619,78,15,31
g361031115032,1064,872,305,33
g361031115033,1310,8,36,37
g361031115041,1093,53,37,187
g361031115051,2270,301,200,42
g361031115052,397,357,167,39
g361031115053,139,150,487,65
g361031115054,664,639,635,40
g361031115061,1499,29,64,190
g361031115062,388,668,588,96
g361031116011,1180,60,189,16
g361031116012,2071,22,74,18
g361031116021,1667,0,59,23
g361031116022,1350,89,35,0
g361031117011,688,17,114,0
g361031117012,1178,0,418,0
g361031117013,635,0,0,194
g361031117014,879,0,83,8
g361031117015,1452,0,106,0
g361031117031,652,0,158,79
g361031117032,1978,0,159,57
g361031117041,1087,25,33,15
g361031117042,857,0,31,12
g361031117043,975,0,79,0
g361031118011,789,0,2,127
g361031118012,1444,0,0,108
g361031118013,2344,0,50,121
g361031118014,694,0,113,0
g361031118021,1716,0,43,5
g361031118022,1039,28,11,21
g361031118031,1216,0,213,73
g361031118032,902,89,57,115
g361031118041,2103,0,44,175
g361031119001,1047,8,64,26
g361031119002,787,0,25,50
g361031119003,720,0,16,0
g361031119004,905,0,80,197
g361031119005,1100,10,44,15
g361031120011,1281,47,254,113
g361031120012,2290,33,176,355
g361031120021,1820,69,215,38
g361031120022,1153,39,10,0
g361031120023,1219,19,162,95
g361031121021,2021,22,114,344
g361031121022,1269,32,77,37
g361031121031,931,0,45,0
g361031121032,1571,46,96,16
g361031121033,1458,20,153,26
g361031121041,1754,38,112,329
g361031122041,1230,0,67,0
g361031122042,1007,10,102,13
g361031122043,1197,0,120,58
g361031122061,2139,111,450,439
g361031122062,1734,0,65,0
g361031122063,2158,36,153,252
g361031122064,367,0,0,106
g361031122101,924,46,60,78
g361031122102,1872,81,63,46
g361031122103,1594,58,7,597
g361031122104,1560,72,66,81
g361031122111,1789,92,226,170
g361031122112,1165,110,141,97
g361031122113,910,0,15,13
g361031122121,693,30,0,170
g361031122122,1613,220,162,352
g361031122131,1846,105,268,329
g361031122132,823,172,124,106
g361031122133,1007,157,5,183
g361031122141,704,0,57,232
g361031122142,2041,559,10,257
g361031122143,2419,15,32,24
g361031122144,526,176,27,144
g361031223001,1093,50,494,148
g361031223002,1547,54,780,81
g361031224031,478,688,88,105
g361031224032,67,786,151,5
g361031224041,1655,89,406,43
g361031224042,1061,46,285,0
g361031224051,280,2112,428,72
g361031224052,447,308,0,111
g361031224061,142,1042,358,0
g361031224062,39,1237,645,0
g361031224063,37,1214,597,0
g361031225011,51,656,320,26
g361031225012,93,933,336,0
g361031225013,36,1082,262,0
g361031225021,102,2065,761,0
g361031225022,48,487,168,0
g361031225023,21,875,74,0
g361031226011,1180,195,431,223
g361031226012,1125,10,348,141
g361031226013,1304,149,301,104
g361031226021,1884,224,253,103
g361031226022,1999,15,154,245
g361031226031,983,201,244,26
g361031226032,1865,52,232,0
g361031226033,697,0,72,60
g361031226034,1035,107,232,78
g361031227041,93,410,268,0
g361031227042,1070,62,57,65
g361031227051,1490,35,83,12
g361031227052,587,53,239,224
g361031227061,766,43,82,0
g361031227062,1465,156,283,305
g361031227063,364,0,0,32
g361031227071,1406,21,194,236
g361031227072,1014,0,134,137
g361031228011,737,564,123,133
g361031228012,977,28,398,27
g361031228013,574,54,0,0
g361031228014,196,1802,119,203
g361031228021,978,542,313,140
g361031228022,1749,63,192,0
g361031229011,2090,0,382,44
g361031229012,1098,9,34,10
g361031229013,1030,0,76,51
g361031229014,945,8,441,51
g361031229021,1380,126,176,45
g361031229022,1221,4,112,19
g361031229023,1269,49,158,0
g361031230011,1000,153,353,43
g361031230012,885,54,304,53
g361031230013,912,0,460,37
g361031230014,1051,14,269,0
g361031230021,1616,32,298,93
g361031230022,611,79,307,0
g361031230023,1079,0,261,93
g361031231011,1105,19,148,16
g361031231012,483,0,55,27
g361031231013,1177,60,387,20
g361031231021,930,62,258,0
g361031231022,1374,81,142,29
g361031231023,633,0,170,0
g361031232011,621,612,559,115
g361031232021,14,1374,424,0
g361031232022,521,282,60,219
g361031232023,0,1313,1855,0
g361031232024,141,1681,1349,0
g361031233011,319,598,402,13
g361031233012,125,1113,391,137
g361031233013,32,669,58,0
g361031233014,61,854,234,0
g361031233015,0,1349,803,0
g361031233016,200,80,940,0
g361031233021,25,919,562,0
g361031234011,834,49,234,75
g361031234012,812,56,735,29
g361031234013,1106,0,106,59
g361031234021,1454,79,65,28
g361031234022,1439,0,240,0
g361031234023,887,158,131,0
g361031234024,243,30,445,44
g361031234025,1265,73,226,145
g361031235001,435,772,611,29
g361031235002,712,53,391,10
g361031235003,1062,17,307,44
g361031235004,1357,56,269,0
g361031236001,1116,0,96,61
g361031236002,796,0,29,0
g361031236003,1009,0,94,31
g361031237011,799,97,1184,0
g361031237012,290,138,1174,28
g361031237013,791,130,678,69
g361031237014,146,465,817,0
g361031237021,1566,13,1543,60
g361031237022,1057,159,750,50
g361031237023,794,12,370,38
g361031237024,1112,383,189,137
g361031238011,782,19,130,29
g361031238012,970,0,14,0
g361031238013,1835,217,90,23
g361031238021,1257,0,145,0
g361031238022,1660,24,232,0
g361031239001,1178,34,321,0
g361031239002,780,0,78,21
g361031239003,658,11,88,18
g361031239004,991,257,212,100
g361031239005,447,0,0,0
g361031240011,1820,0,497,61
g361031240012,1383,114,293,35
g361031240013,263,11,51,0
g361031240021,1189,17,212,10
g361031240022,1893,0,108,11
g361031241011,1940,1,379,0
g361031241012,1175,0,185,0
g361031241013,1271,11,163,0
g361031241021,1332,0,66,0
g361031241022,1536,0,309,0
g361031242001,905,0,250,0
g361031242002,858,0,0,0
g361031242003,460,24,55,1
g361031242004,1554,0,64,2
g361031242005,846,0,259,242
g361031243001,930,0,102,175
g361031243002,987,21,458,161
g361031243003,1281,51,16,0
g361031243004,1476,0,155,0
g361031243005,541,5,2,18
g361031244011,613,9,9,0
g361031244012,911,26,23,0
g361031244013,1842,22,447,75
g361031244021,2003,0,37,13
g361031244022,1034,0,10,0
g361031244023,630,0,0,0
g361031245001,1034,25,97,9
g361031245002,888,0,110,0
g361031245003,918,0,33,90
g361031245004,1194,25,319,285
g361031246011,885,33,83,0
g361031246012,863,0,16,16
g361031246013,712,0,28,0
g361031246021,605,0,12,0
g361031246022,1057,0,95,63
g361031246023,1365,10,69,76
g361031246024,535,44,169,0
g361031347021,1613,0,306,23
g361031347022,2074,41,18,199
g361031347023,628,0,0,0
g361031347024,702,0,95,0
g361031347031,1105,0,13,54
g361031347032,939,0,105,0
g361031347033,1082,0,15,115
g361031347034,569,0,38,0
g361031347041,1468,9,16,11
g361031347042,910,3,8,137
g361031349021,1124,0,31,7
g361031349022,1046,0,56,10
g361031349023,2372,41,86,17
g361031349031,1089,117,91,0
