GEOID,B25004_006E
g361031101011,16
g361031101012,21
g361031101021,0
g361031101022,0
g361031101023,0
g361031101024,0
g361031102001,15
g361031102002,0
g361031102003,0
g361031102004,0
g361031102005,0
g361031103001,0
g361031103002,0
g361031103003,12
g361031103004,0
g361031103005,0
g361031104011,0
g361031104012,16
g361031104021,0
g361031104022,29
g361031105011,60
g361031105012,24
g361031105021,10
g361031105022,0
g361031106001,17
g361031106002,0
g361031106003,0
g361031106004,34
g361031106005,0
g361031108011,42
g361031108012,20
g361031108031,0
g361031108032,29
g361031108033,0
g361031108034,0
g361031109011,29
g361031109012,0
g361031109013,0
g361031109021,0
g361031109022,0
g361031109023,0
g361031110011,0
g361031110012,0
g361031110021,0
g361031110022,6
g361031110023,0
g361031110024,0
g361031111001,0
g361031111002,0
g361031111003,0
g361031111004,0
g361031111005,0
g361031112011,0
g361031112012,0
g361031112013,0
g361031112021,0
g361031112022,0
g361031112023,0
g361031113001,25
g361031113002,0
g361031113003,0
g361031114011,0
g361031114021,0
g361031114022,0
g361031114023,0
g361031114024,0
g361031115031,0
g361031115032,0
g361031115033,0
g361031115041,0
g361031115051,0
g361031115052,0
g361031115053,0
g361031115054,0
g361031115061,0
g361031115062,0
g361031116011,0
g361031116012,0
g361031116021,0
g361031116022,0
g361031117011,0
g361031117012,0
g361031117013,0
g361031117014,0
g361031117015,0
g361031117031,0
g361031117032,0
g361031117041,0
g361031117042,0
g361031117043,0
g361031118011,0
g361031118012,0
g361031118013,0
g361031118014,0
g361031118021,0
g361031118022,0
g361031118031,0
g361031118032,0
g361031118041,0
g361031119001,0
g361031119002,0
g361031119003,0
g361031119004,9
g361031119005,0
g361031120011,0
g361031120012,0
g361031120021,26
g361031120022,0
g361031120023,0
g361031121021,0
g361031121022,0
g361031121031,0
g361031121032,0
g361031121033,25
g361031121041,0
g361031122041,0
g361031122042,0
g361031122043,0
g361031122061,0
g361031122062,0
g361031122063,0
g361031122064,0
g361031122101,0
g361031122102,0
g361031122103,0
g361031122104,0
g361031122111,25
g361031122112,0
g361031122113,0
g361031122121,0
g361031122122,0
g361031122131,0
g361031122132,0
g361031122133,0
g361031122141,0
g361031122142,0
g361031122143,37
g361031122144,0
g361031223001,0
g361031223002,0
g361031224031,0
g361031224032,0
g361031224041,0
g361031224042,0
g361031224051,0
g361031224052,0
g361031224061,0
g361031224062,0
g361031224063,0
g361031225011,0
g361031225012,0
g361031225013,0
g361031225021,0
g361031225022,0
g361031225023,0
g361031226011,0
g361031226012,0
g361031226013,0
g361031226021,0
g361031226022,0
g361031226031,0
g361031226032,0
g361031226033,0
g361031226034,0
g361031227041,0
g361031227042,0
g361031227051,9
g361031227052,0
g361031227061,0
g361031227062,0
g361031227063,0
g361031227071,0
g361031227072,0
g361031228011,0
g361031228012,0
g361031228013,0
g361031228014,0
g361031228021,0
g361031228022,0
g361031229011,0
g361031229012,0
g361031229013,0
g361031229014,0
g361031229021,0
g361031229022,0
g361031229023,0
g361031230011,0
g361031230012,0
g361031230013,0
g361031230014,0
g361031230021,9
g361031230022,0
g361031230023,0
g361031231011,0
