Variable,Universe: Table,Name
B25034_010,Housing units: Year Structure Built,Housing stock built 1939 or earlier
B25034_009,Housing units: Year Structure Built,Housing Stock built 1940-1949
B25034_008,Housing units: Year Structure Built,Housing stock built 1950-1959
B25034_007,Housing units: Year Structure Built,Housing stock built 1960-1969
B25034_006,Housing units: Year Structure Built,Housing Stock built 1970-1979
B25034_005,Housing units: Year Structure Built,Housing Stock built 1980-1989
B25034_004,Housing units: Year Structure Built,Housing Stock built 1990-1999
B25034_003,Housing units: Year Structure Built,Housing Stock built 2000-2009
B25034_002,Housing units: Year Structure Built,Housing Stock built 2010 or later
B25034_001,Housing units: Year Structure Built,Housing units: Year Structure Built: Total
B25024_001,Housing units: Units in Structure,Housing units: Units in Structure: Total
B25024_002,Housing units: Units in Structure,"Single-Unit, Detached"
B25024_003,Housing units: Units in Structure,"Single-Unit, Attached"
B25024_004,Housing units: Units in Structure,2 Units
B25024_005,Housing units: Units in Structure,3-4 Units
B25024_006,Housing units: Units in Structure,5-9 Units
B25024_007,Housing units: Units in Structure,10-19 Units
B25024_008,Housing units: Units in Structure,20-49 Units
B25024_009,Housing units: Units in Structure,50 or More Units
B03002_001,Total population: Hispanic or Latino Origin By Race,Total population: Hispanic or Latino Origin By Race: Total
B03002_003,Total population: Hispanic or Latino Origin By Race,Not Hispanic Or Latino: White Alone
B03002_004,Total population: Hispanic or Latino Origin By Race,Not Hispanic Or Latino: Black or African American Alone
B03002_012,Total population: Hispanic or Latino Origin By Race,Hispanic Or Latino
B03002_006,Total population: Hispanic or Latino Origin By Race,Not Hispanic Or Latino: Asian Alone
B11001_001,Households: Household Type (Including Living Alone),Households: Household Type (Including Living Alone): Total
B11001_003,Households: Household Type (Including Living Alone),Married-Couple Family
B11001_004,Households: Household Type (Including Living Alone),Other Family
B11001_009,Households: Household Type (Including Living Alone),Householder Not Living Alone
B11001_008,Households: Household Type (Including Living Alone),Householder Living Alone
B25026_001,Total population in occupied housing units: Total Population in Occupied Housing Units By Tenure By Year Householder Moved Into Unit,Total population in occupied housing units: Total Population in Occupied Housing Units By Tenure By Year Householder Moved Into Unit: Total Population in Occupied Housing Units
B25026_003,Total population in occupied housing units: Total Population in Occupied Housing Units By Tenure By Year Householder Moved Into Unit,Owner Moved In 2010 or later
B25026_010,Total population in occupied housing units: Total Population in Occupied Housing Units By Tenure By Year Householder Moved Into Unit,Renter Moved In 2010 or later
B25026_004,Total population in occupied housing units: Total Population in Occupied Housing Units By Tenure By Year Householder Moved Into Unit,Owner Moved In 2000-2009
B25026_011,Total population in occupied housing units: Total Population in Occupied Housing Units By Tenure By Year Householder Moved Into Unit,Renter Moved In 2000-2009
B25026_005,Total population in occupied housing units: Total Population in Occupied Housing Units By Tenure By Year Householder Moved Into Unit,Owner Moved In 1990-1999
B25026_012,Total population in occupied housing units: Total Population in Occupied Housing Units By Tenure By Year Householder Moved Into Unit,Renter Moved In 1990-1999
B25026_006,Total population in occupied housing units: Total Population in Occupied Housing Units By Tenure By Year Householder Moved Into Unit,Owner Moved In 1980-1989
B25026_007,Total population in occupied housing units: Total Population in Occupied Housing Units By Tenure By Year Householder Moved Into Unit,Owner Moved In 1970-1979
B25026_008,Total population in occupied housing units: Total Population in Occupied Housing Units By Tenure By Year Householder Moved Into Unit,Owner Moved In 1969 or earlier
B25026_013,Total population in occupied housing units: Total Population in Occupied Housing Units By Tenure By Year Householder Moved Into Unit,Renter Moved In 1980-1989
B25026_014,Total population in occupied housing units: Total Population in Occupied Housing Units By Tenure By Year Householder Moved Into Unit,Renter Moved In 1970-1979
B25026_015,Total population in occupied housing units: Total Population in Occupied Housing Units By Tenure By Year Householder Moved Into Unit,Renter Moved In 1969 or earlier
B25004_001,Vacant housing units: Vacancy Status,Vacant housing units: Vacancy Status: Total
B25004_006,Vacant housing units: Vacancy Status,"For Seasonal, Recreational, Or Occasional Use"
