GEOID,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T007_012,SE_T007_013
g361031101011,1463,37,52,197,118,169,41,102,334,174,140,54,45
g361031101012,2221,71,181,302,194,126,51,200,433,326,170,112,55
g361031101021,1874,100,137,134,162,134,113,229,335,283,107,95,45
g361031101022,1064,0,48,90,53,125,66,88,181,190,144,67,12
g361031101023,992,134,56,76,18,34,20,122,259,105,100,35,33
g361031101024,1111,58,82,110,39,27,55,157,183,197,128,42,33
g361031102001,1158,22,78,179,64,55,136,110,232,122,97,45,18
g361031102002,640,0,0,0,17,59,54,76,109,199,94,32,0
g361031102003,656,0,33,33,32,38,88,94,39,209,74,16,0
g361031102004,1345,68,73,30,31,99,64,123,307,197,131,169,53
g361031102005,1031,20,18,98,65,237,0,41,252,223,61,16,0
g361031103001,610,5,17,7,16,33,46,41,86,195,83,56,25
g361031103002,1582,65,119,116,46,82,58,251,119,471,113,109,33
g361031103003,943,18,26,75,32,58,181,91,177,135,28,72,50
g361031103004,1191,47,38,104,41,20,137,129,365,135,157,18,0
g361031103005,831,15,56,80,42,59,55,83,146,158,64,67,6
g361031104011,861,44,44,54,82,68,63,114,119,181,74,11,7
g361031104012,2019,110,128,165,76,145,136,215,384,242,202,138,78
g361031104021,1682,125,90,169,75,49,125,257,250,279,121,73,69
g361031104022,1454,71,87,94,72,162,97,203,303,211,97,41,16
g361031105011,2581,129,264,280,169,204,73,385,432,301,242,94,8
g361031105012,691,27,50,72,30,11,53,104,121,111,52,60,0
g361031105021,1450,85,67,113,99,124,71,175,351,166,116,60,23
g361031105022,1421,24,58,216,107,76,34,199,304,140,129,62,72
g361031106001,1723,97,183,91,23,56,187,210,252,371,97,122,34
g361031106002,1822,19,157,234,113,69,48,344,328,231,156,95,28
g361031106003,1988,25,72,210,35,79,217,238,327,381,276,122,6
g361031106004,1224,30,52,68,39,139,145,145,221,206,86,81,12
g361031106005,660,64,21,55,0,33,44,111,0,153,109,26,44
g361031108011,1374,56,53,145,42,64,140,90,213,239,210,96,26
g361031108012,576,25,13,29,26,42,27,65,76,149,79,22,23
g361031108031,1270,58,33,134,56,93,63,82,226,277,110,62,76
g361031108032,2265,58,87,176,233,258,228,226,544,244,122,58,31
g361031108033,1171,0,36,69,91,153,17,29,290,190,95,186,15
g361031108034,1104,15,150,117,75,50,40,153,283,53,100,16,52
g361031109011,947,36,34,49,31,25,310,80,169,136,60,17,0
g361031109012,430,22,34,0,32,19,10,59,45,61,106,42,0
g361031109013,1362,83,103,12,0,25,292,321,211,133,83,76,23
g361031109021,1134,96,167,85,66,85,149,215,92,65,56,45,13
g361031109022,1465,97,80,84,87,175,112,258,203,89,191,56,33
g361031109023,1270,70,46,98,27,94,202,178,191,217,68,45,34
g361031110011,1147,71,66,84,16,55,154,111,175,172,126,81,36
g361031110012,1121,44,62,87,57,56,188,120,252,150,53,35,17
g361031110021,602,38,0,48,39,110,61,81,105,17,78,16,9
g361031110022,985,10,53,39,22,68,167,93,260,154,81,30,8
g361031110023,2651,239,384,293,181,270,342,553,196,107,63,16,7
g361031110024,1464,187,144,48,22,43,270,311,115,150,113,53,8
g361031111001,3030,214,222,241,49,398,278,421,393,343,180,108,183
g361031111002,2138,162,239,299,106,350,282,269,237,108,66,20,0
g361031111003,1089,29,86,93,85,79,110,193,142,142,92,38,0
g361031111004,1795,126,28,29,85,303,201,184,411,155,176,24,73
g361031111005,1060,196,0,34,91,149,133,78,343,18,18,0,0
g361031112011,2064,90,185,121,49,100,487,528,49,289,132,27,7
g361031112012,1676,58,144,157,78,244,248,297,257,75,71,40,7
g361031112013,844,112,33,0,33,50,87,112,115,113,109,56,24
g361031112021,2476,66,116,136,139,290,233,386,576,255,148,104,27
g361031112022,594,53,87,13,8,0,55,185,80,86,27,0,0
g361031112023,1264,105,91,88,68,102,124,225,197,107,93,56,8
g361031113001,1786,82,84,150,112,80,213,166,423,170,141,116,49
g361031113002,1852,35,193,153,132,64,100,196,419,240,135,116,69
g361031113003,1080,23,95,102,30,109,50,149,149,202,100,55,16
g361031114011,1290,66,112,43,37,68,97,276,164,176,185,39,27
g361031114021,1683,77,151,126,80,157,123,298,273,205,114,79,0
g361031114022,1671,171,85,131,35,116,210,131,323,268,133,48,20
g361031114023,805,16,40,42,0,21,83,106,72,253,65,41,66
g361031114024,955,66,40,33,64,65,132,126,104,179,81,48,17
g361031115031,757,16,37,83,43,51,28,102,129,95,66,94,13
g361031115032,2293,138,221,203,103,319,236,214,336,254,152,109,8
g361031115033,1498,98,121,104,35,74,98,117,204,120,190,199,138
g361031115041,1430,142,90,121,64,89,51,196,385,62,163,55,12
g361031115051,2849,126,227,360,135,126,102,465,412,265,251,138,242
g361031115052,1054,95,41,67,44,128,175,111,182,100,53,50,8
g361031115053,841,214,11,49,12,94,123,71,138,86,0,43,0
g361031115054,2026,91,26,230,107,186,218,195,443,255,106,149,20
g361031115061,1804,20,189,127,135,63,67,315,440,172,176,54,46
g361031115062,1805,197,125,182,43,183,277,118,185,271,101,68,55
g361031116011,1479,101,117,87,34,23,203,224,209,227,111,94,49
g361031116012,2210,26,208,155,95,150,202,231,413,518,127,78,7
g361031116021,1785,115,85,112,138,135,168,206,358,270,105,82,11
g361031116022,1474,99,75,79,70,82,141,161,356,117,179,106,9
g361031117011,819,17,62,59,92,80,50,90,74,168,112,15,0
g361031117012,1596,40,163,164,30,102,118,411,157,251,106,16,38
g361031117013,829,45,22,39,66,74,150,64,194,118,39,18,0
g361031117014,977,64,41,71,28,98,94,175,200,92,54,47,13
g361031117015,1558,65,47,104,37,158,263,187,174,330,110,72,11
g361031117031,899,45,50,92,30,115,44,172,147,124,29,51,0
g361031117032,2242,73,118,251,100,172,114,294,401,239,208,167,105
g361031117041,1160,54,116,89,119,112,37,147,204,139,86,35,22
g361031117042,935,97,49,14,27,46,39,139,177,137,95,91,24
g361031117043,1054,38,92,53,41,129,76,114,205,126,141,20,19
g361031118011,918,0,30,88,127,0,16,136,192,128,105,69,27
g361031118012,1554,63,111,151,199,35,45,217,281,207,103,119,23
g361031118013,2515,191,77,179,76,297,222,217,619,326,97,167,47
