GEOID,B25034_001M,B25034_010M,B25034_009M,B25034_008M,B25034_007M,B25034_006M,B25034_005M,B25034_004M,B25034_003M,B25034_002M,B25024_001M,B25024_002M,B25024_003M,B25024_004M,B25024_005M,B25024_006M,B25024_007M,B25024_008M,B25024_009M,B03002_001M,B03002_003M,B03002_004M,B03002_012M,B03002_006M,B11001_001M,B11001_003M,B11001_004M,B11001_009M,B11001_008M,B25004_001M,B25004_006M,B25075_001M,B25075_002M,B25075_003M,B25075_004M,B25075_005M,B25075_006M,B25075_007M,B25075_008M,B25075_009M,B25075_010M,B25075_011M,B25075_012M,B25075_013M,B25075_014M,B25075_015M,B25075_016M,B25075_017M,B25075_018M,B25075_019M,B25075_020M,B25075_021M,B25075_022M,B25075_023M,B25075_024M,B25075_025M,C17002_001M,C17002_002M,C17002_003M,C17002_004M,C17002_005M,C17002_006M,C17002_007M,C17002_008M,B25038_001M,B25038_003M,B25038_004M,B25038_005M,B25038_006M,B25038_007M,B25038_008M,B25038_010M,B25038_011M,B25038_012M,B25038_013M,B25038_014M,B25038_015M
g361031101011,77,51,20,41,26,44,42,41,30,11,77,77,11,11,11,11,11,11,11,274,275,11,38,20,75,70,14,11,39,35,18,78,4,11,11,11,11,11,11,11,11,11,11,11,8,11,11,11,7,11,11,12,11,10,22,78,273,30,19,5,11,32,11,278,75,10,33,59,37,17,34,30,9,41,11,11,11
g361031101012,93,30,42,61,53,40,35,56,24,11,93,93,11,11,11,11,11,11,11,275,259,11,82,59,78,73,22,10,30,41,31,73,8,11,11,11,11,11,11,11,11,11,11,11,11,13,11,12,11,9,11,8,11,15,50,65,275,62,45,21,8,11,11,281,78,35,66,52,28,26,30,26,10,11,11,11,11
g361031101021,94,81,24,63,79,32,11,22,21,16,94,94,16,11,11,11,11,11,11,294,318,11,186,27,88,91,45,11,52,41,11,85,11,11,11,11,11,11,11,11,11,16,11,14,11,16,11,11,11,11,11,23,21,27,65,70,296,17,16,44,11,10,11,300,88,24,83,43,41,35,39,68,25,11,11,11,11
g361031101022,67,25,52,53,69,26,11,20,11,11,67,67,11,51,11,11,11,11,11,179,172,11,19,53,67,55,64,11,46,51,11,67,11,11,11,11,11,11,11,11,11,11,18,11,11,11,11,11,11,11,11,11,11,49,44,47,170,12,25,11,22,97,11,179,67,48,51,38,39,36,18,11,11,11,11,11,11
g361031101023,64,27,26,51,54,28,17,19,11,11,64,65,20,11,11,11,11,11,11,261,265,11,24,41,66,68,31,28,43,20,11,66,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,40,34,57,47,19,261,11,21,11,11,20,11,266,66,27,76,42,23,32,29,11,11,11,11,11,14
g361031101024,64,59,11,49,30,11,14,35,18,11,64,66,11,15,11,11,11,11,11,224,215,11,45,11,64,70,23,19,34,11,11,70,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,30,30,60,52,17,224,25,11,11,11,11,68,223,64,11,60,41,19,54,27,11,19,15,11,11,11
g361031102001,82,38,18,92,53,11,22,40,45,11,82,84,26,11,11,11,11,11,11,280,265,11,109,26,85,80,35,32,72,26,26,84,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,28,11,21,43,81,48,22,280,23,9,3,6,11,11,283,85,50,79,56,44,25,35,11,11,11,11,11,25
g361031102002,116,119,41,32,11,69,49,11,11,11,116,96,65,97,11,11,31,11,11,210,208,11,27,26,95,85,15,26,78,107,11,84,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,26,11,28,11,11,56,58,33,11,210,11,4,33,27,11,11,210,95,25,56,43,24,45,38,75,27,11,11,11,11
g361031102003,78,47,17,89,25,11,11,11,11,11,78,78,11,11,11,11,11,11,11,220,197,11,144,11,80,64,32,11,59,23,11,69,11,11,11,11,11,11,11,11,11,11,11,11,26,11,11,11,11,11,11,11,25,56,34,15,220,108,11,29,11,11,112,166,80,40,28,38,19,34,26,69,32,11,11,11,11
g361031102004,100,110,40,103,64,34,30,23,11,11,100,101,70,11,72,26,11,11,11,227,225,11,35,97,100,82,56,20,111,11,11,102,32,11,11,11,11,11,11,11,11,11,11,11,29,11,11,11,11,69,62,42,42,90,59,36,227,40,11,11,11,59,18,248,100,37,100,103,53,27,24,11,41,11,20,11,11
g361031102005,88,96,32,42,34,34,81,25,11,11,88,82,11,74,11,69,11,11,11,417,417,11,11,11,101,77,68,32,40,69,11,76,24,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,28,29,57,75,11,417,11,236,11,11,15,11,385,101,28,11,76,39,24,23,74,32,11,11,11,11
g361031103001,44,40,14,22,8,12,16,7,5,4,44,44,6,11,11,11,11,11,11,100,88,11,46,31,45,36,26,10,23,17,11,44,5,11,11,11,11,11,11,11,11,11,5,11,11,7,11,11,11,11,11,11,9,9,25,39,100,38,11,11,15,6,6,93,45,13,34,24,18,16,18,6,6,11,11,11,5
g361031103002,75,76,31,98,35,21,11,11,20,11,75,79,14,11,11,11,11,11,11,486,499,11,94,33,75,93,86,14,61,11,11,75,11,11,11,11,11,11,11,11,11,11,11,11,14,40,11,11,11,15,11,41,39,99,82,11,486,15,11,14,11,100,11,498,75,27,88,45,18,36,84,11,11,11,11,11,11
g361031103003,77,86,16,46,65,11,17,20,11,11,77,79,11,25,40,11,37,25,11,230,179,11,177,42,76,73,34,36,40,24,19,82,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,17,62,83,38,18,11,230,39,11,11,17,18,11,230,76,21,84,34,17,24,31,17,39,18,11,33,11
g361031103004,97,63,38,75,58,11,77,11,23,17,97,85,74,62,16,16,11,11,11,246,247,11,52,11,101,83,41,23,92,24,11,70,17,11,11,11,23,11,11,11,15,11,11,11,11,11,11,11,11,16,11,44,45,57,32,11,246,25,11,14,11,28,11,251,101,20,62,42,29,34,32,50,91,11,11,11,11
g361031103005,44,32,14,23,27,12,16,13,16,11,44,44,11,11,11,11,11,11,11,163,161,11,5,22,45,39,24,7,25,7,11,45,6,11,11,11,11,11,11,11,11,11,5,11,6,11,11,11,11,11,11,11,10,32,25,36,163,9,74,23,5,27,11,143,45,25,32,31,19,17,11,5,5,11,11,11,11
g361031104011,44,22,21,22,22,32,42,9,11,11,44,44,11,11,11,11,11,11,11,200,196,11,69,11,44,42,15,11,23,9,11,44,11,11,11,11,11,11,11,9,11,11,11,11,11,11,11,11,11,11,11,10,16,42,33,13,200,11,11,11,11,55,11,202,44,12,33,34,35,14,11,11,11,11,11,11,11
g361031104012,50,44,31,60,39,42,11,28,9,11,50,60,11,11,11,11,11,11,29,215,242,7,137,25,53,67,31,25,44,24,24,59,11,8,11,11,11,11,11,10,11,11,11,11,7,12,11,11,24,7,15,39,32,57,53,37,215,24,8,11,41,47,7,206,53,25,56,42,35,26,32,27,17,11,11,10,6
g361031104021,83,57,44,78,56,40,26,23,11,11,83,83,11,11,11,11,11,11,11,306,304,11,15,15,83,92,54,23,41,11,11,83,12,11,11,11,24,11,11,11,11,11,11,11,11,11,11,11,11,11,11,32,70,76,22,11,306,11,25,22,23,16,58,317,83,35,70,67,30,41,31,11,16,11,11,11,14
g361031104022,98,81,50,36,73,66,24,14,11,11,98,100,13,18,11,11,11,11,11,313,260,43,48,115,97,83,68,11,49,70,46,96,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,27,73,70,46,11,313,28,86,11,11,54,11,282,97,60,79,39,41,21,27,37,44,18,11,16,11
g361031105011,53,55,61,53,75,63,24,24,29,11,53,59,19,24,11,11,11,11,11,370,356,11,43,66,73,88,49,16,43,58,58,77,11,11,11,11,11,11,11,11,11,11,14,11,11,11,11,11,11,11,13,20,26,80,78,42,370,27,19,27,57,151,11,373,73,54,84,72,44,30,33,11,33,11,11,11,11
g361031105012,49,11,37,34,53,29,14,14,20,11,49,46,11,11,20,11,11,11,11,150,163,11,13,32,37,49,23,13,24,40,40,34,20,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,29,31,26,15,150,84,96,11,11,11,11,158,37,13,35,35,22,31,21,11,20,11,11,11,11
g361031105021,59,54,53,67,49,26,21,11,42,11,59,60,21,51,11,11,11,11,11,241,221,54,95,63,72,65,37,33,50,51,15,70,11,11,11,11,11,11,11,11,11,11,11,11,13,11,11,12,11,19,34,55,38,59,33,11,241,22,50,17,64,11,39,246,72,39,63,47,49,30,25,11,39,14,11,11,11
