GEOID,B25034_001E,B03002_001E,B11001_001E,B25026_001E,B25004_001E,B25075_001E,B25024_001E
g361031101011,509,1463,466,,43,402,509
g361031101012,731,2221,681,,50,659,731
g361031101021,640,1874,613,,27,533,640
g361031101022,396,1064,362,,34,362,396
g361031101023,398,992,385,,13,377,398
g361031101024,373,1111,373,,0,347,373
g361031102001,417,1158,402,,15,386,417
g361031102002,432,640,335,,97,204,432
g361031102003,273,656,258,,15,191,273
g361031102004,670,1345,670,,0,621,670
g361031102005,400,1031,357,,43,289,400
g361031103001,276,610,266,,10,256,276
g361031103002,514,1582,514,,0,514,514
g361031103003,416,943,394,,22,292,416
g361031103004,577,1191,561,,16,420,577
g361031103005,312,831,306,,6,300,312
g361031104011,272,861,266,,6,259,272
g361031104012,714,2019,698,,16,647,714
g361031104021,588,1682,588,,0,568,588
g361031104022,627,1454,563,,64,473,627
g361031105011,852,2581,792,,60,745,852
g361031105012,263,691,239,,24,227,263
g361031105021,560,1450,502,,58,439,560
g361031105022,480,1421,480,,0,433,480
g361031106001,705,1723,688,,17,476,705
g361031106002,711,1822,667,,44,534,711
g361031106003,833,1988,784,,49,619,833
g361031106004,610,1224,536,,74,302,610
g361031106005,318,660,258,,60,212,318
g361031108011,582,1374,529,,53,517,582
g361031108012,277,576,220,,57,182,277
g361031108031,405,1270,363,,42,338,405
g361031108032,782,2265,753,,29,591,782
g361031108033,447,1171,418,,29,418,447
g361031108034,487,1104,439,,48,380,487
g361031109011,380,947,351,,29,233,380
g361031109012,250,430,223,,27,173,250
g361031109013,631,1362,631,,0,402,631
g361031109021,353,1134,329,,24,155,353
g361031109022,565,1465,488,,77,131,565
g361031109023,580,1270,557,,23,392,580
g361031110011,441,1147,430,,11,332,441
g361031110012,443,1121,443,,0,278,443
g361031110021,211,602,211,,0,86,211
g361031110022,429,985,380,,49,272,429
g361031110023,475,2651,475,,0,246,475
g361031110024,540,1464,540,,0,340,540
g361031111001,907,3030,907,,0,594,907
g361031111002,523,2138,503,,20,327,523
g361031111003,309,1089,309,,0,245,309
g361031111004,509,1795,509,,0,417,509
g361031111005,363,1060,363,,0,227,363
g361031112011,440,2064,371,,69,118,440
g361031112012,421,1676,413,,8,331,421
g361031112013,320,844,320,,0,230,320
g361031112021,963,2476,862,,101,559,963
g361031112022,285,594,230,,55,159,285
g361031112023,415,1264,415,,0,349,415
g361031113001,676,1786,610,,66,530,676
g361031113002,606,1852,606,,0,606,606
g361031113003,345,1080,345,,0,335,345
g361031114011,485,1290,450,,35,446,485
g361031114021,529,1683,529,,0,514,529
g361031114022,538,1671,529,,9,517,538
g361031114023,288,805,288,,0,288,288
g361031114024,421,955,386,,35,305,421
g361031115031,270,757,270,,0,270,270
