GEOID,B25034_001M,B03002_001M,B11001_001M,B25026_001M,B25004_001M,B25075_001M,B25024_001M
g361031101011,77,274,75,,35,78,77
g361031101012,93,275,78,,41,73,93
g361031101021,94,294,88,,41,85,94
g361031101022,67,179,67,,51,67,67
g361031101023,64,261,66,,20,66,64
g361031101024,64,224,64,,11,70,64
g361031102001,82,280,85,,26,84,82
g361031102002,116,210,95,,107,84,116
g361031102003,78,220,80,,23,69,78
g361031102004,100,227,100,,11,102,100
g361031102005,88,417,101,,69,76,88
g361031103001,44,100,45,,17,44,44
g361031103002,75,486,75,,11,75,75
g361031103003,77,230,76,,24,82,77
g361031103004,97,246,101,,24,70,97
g361031103005,44,163,45,,7,45,44
g361031104011,44,200,44,,9,44,44
g361031104012,50,215,53,,24,59,50
g361031104021,83,306,83,,11,83,83
g361031104022,98,313,97,,70,96,98
g361031105011,53,370,73,,58,77,53
g361031105012,49,150,37,,40,34,49
g361031105021,59,241,72,,51,70,59
g361031105022,72,224,72,,11,55,72
g361031106001,103,323,110,,27,103,103
g361031106002,156,452,144,,70,105,156
g361031106003,120,306,111,,74,88,120
g361031106004,134,304,115,,76,80,134
g361031106005,101,223,72,,92,71,101
g361031108011,40,162,44,,35,46,40
g361031108012,38,102,33,,30,28,38
g361031108031,92,309,75,,65,84,92
g361031108032,110,514,116,,32,117,110
g361031108033,89,359,90,,48,90,89
g361031108034,84,369,91,,75,97,84
g361031109011,84,387,96,,39,62,84
g361031109012,65,149,71,,47,50,65
g361031109013,85,247,85,,11,80,85
g361031109021,78,366,76,,29,39,78
g361031109022,85,347,84,,56,61,85
g361031109023,75,241,78,,33,74,75
g361031110011,59,210,57,,19,58,59
g361031110012,66,246,66,,11,71,66
g361031110021,64,260,64,,11,41,64
g361031110022,84,253,77,,49,68,84
g361031110023,100,687,100,,11,85,100
g361031110024,105,436,105,,11,79,105
g361031111001,188,933,188,,11,197,188
g361031111002,143,864,148,,34,126,143
g361031111003,103,473,103,,11,102,103
g361031111004,117,538,117,,11,112,117
g361031111005,148,710,148,,11,125,148
g361031112011,87,941,95,,65,75,87
g361031112012,88,486,86,,13,85,88
g361031112013,79,288,79,,11,73,79
g361031112021,103,501,111,,77,95,103
g361031112022,74,229,74,,59,62,74
g361031112023,82,268,82,,11,83,82
g361031113001,74,295,77,,47,69,74
g361031113002,71,237,71,,11,71,71
g361031113003,62,205,62,,11,69,62
g361031114011,12,166,49,,50,47,12
g361031114021,80,303,80,,11,85,80
g361031114022,87,407,89,,15,88,87
g361031114023,93,304,93,,11,93,93
g361031114024,82,251,84,,54,66,82
g361031115031,63,198,63,,11,63,63
g361031115032,82,615,91,,46,83,82
g361031115033,71,254,80,,61,55,71
g361031115041,22,106,22,,11,40,22
g361031115051,96,436,97,,11,95,96
g361031115052,81,327,80,,32,75,81
g361031115053,83,309,85,,15,88,83
g361031115054,115,579,122,,41,118,115
g361031115061,74,250,74,,11,80,74
g361031115062,82,412,82,,11,91,82
g361031116011,91,318,88,,37,78,91
g361031116012,90,278,95,,51,86,90
g361031116021,68,253,67,,41,76,68
g361031116022,65,279,66,,39,68,65
g361031117011,99,266,99,,11,93,99
g361031117012,101,351,98,,34,96,101
g361031117013,93,235,93,,11,63,93
g361031117014,118,278,118,,11,104,118
g361031117015,90,355,89,,11,92,90
g361031117031,48,179,48,,11,55,48
g361031117032,58,208,62,,32,72,58
g361031117041,44,231,44,,11,44,44
g361031117042,49,181,49,,11,49,49
g361031117043,63,214,64,,32,65,63
g361031118011,89,327,86,,42,86,89
g361031118012,135,524,127,,37,125,135
g361031118013,121,476,123,,9,132,121
g361031118014,59,204,59,,11,60,59
g361031118021,49,181,51,,29,50,49
g361031118022,46,172,45,,39,47,46
g361031118031,49,207,49,,11,51,49
g361031118032,43,204,43,,11,43,43
g361031118041,35,152,35,,11,46,35
g361031119001,63,211,63,,11,63,63
g361031119002,75,227,82,,54,83,75
g361031119003,67,163,67,,11,54,67
g361031119004,72,252,74,,15,73,72
g361031119005,75,347,74,,33,75,75
g361031120011,88,364,88,,11,82,88
g361031120012,97,366,107,,53,100,97
g361031120021,95,296,92,,56,82,95
g361031120022,57,189,57,,11,59,57
g361031120023,77,218,71,,57,75,77
g361031121021,79,393,79,,11,85,79
g361031121022,78,290,77,,38,74,78
g361031121031,65,212,65,,11,65,65
g361031121032,81,310,81,,44,81,81
g361031121033,76,344,87,,55,83,76
g361031121041,29,230,43,,31,69,29
g361031122041,52,202,52,,11,52,52
g361031122042,59,264,59,,11,60,59
g361031122043,61,220,61,,11,62,61
g361031122061,170,492,163,,67,123,170
g361031122062,115,354,115,,11,105,115
g361031122063,140,461,140,,11,137,140
g361031122064,90,211,61,,85,61,90
g361031122101,101,365,101,,11,101,101
g361031122102,91,428,99,,60,101,91
g361031122103,129,524,121,,64,113,129
g361031122104,134,519,136,,28,128,134
g361031122111,93,409,94,,40,88,93
g361031122112,83,323,85,,11,85,83
g361031122113,69,259,62,,37,61,69
g361031122121,65,216,67,,11,67,65
g361031122122,64,354,64,,11,86,64
g361031122131,76,310,76,,11,68,76
g361031122132,67,249,66,,41,65,67
g361031122133,79,294,79,,11,79,79
g361031122141,98,547,96,,60,93,98
g361031122142,115,498,115,,11,112,115
g361031122143,144,439,160,,84,156,144
g361031122144,68,288,68,,11,68,68
g361031223001,83,327,83,,11,67,83
g361031223002,84,401,84,,11,93,84
g361031224031,58,270,63,,23,68,58
g361031224032,59,254,59,,40,55,59
g361031224041,68,307,68,,24,71,68
g361031224042,72,275,72,,11,73,72
g361031224051,60,332,64,,42,78,60
g361031224052,52,234,53,,12,53,52
g361031224061,108,530,108,,34,87,108
g361031224062,97,499,96,,36,75,97
g361031224063,108,418,98,,46,90,108
g361031225011,80,386,78,,27,77,80
g361031225012,87,387,83,,48,81,87
g361031225013,85,318,85,,11,77,85
g361031225021,97,517,97,,34,102,97
g361031225022,88,293,81,,32,60,88
g361031225023,76,297,76,,11,68,76
g361031226011,106,380,92,,71,84,106
g361031226012,97,313,91,,59,91,97
g361031226013,95,327,95,,11,75,95
g361031226021,86,328,86,,11,76,86
g361031226022,87,377,87,,14,92,87
g361031226031,84,401,78,,59,63,84
g361031226032,127,424,126,,11,128,127
g361031226033,86,236,86,,11,33,86
g361031226034,106,376,106,,11,96,106
g361031227041,58,328,52,,36,49,58
g361031227042,55,178,55,,11,49,55
g361031227051,65,231,65,,30,66,65
g361031227052,63,207,66,,18,59,63
g361031227061,112,362,111,,32,111,112
g361031227062,107,354,107,,11,97,107
g361031227063,72,202,64,,54,66,72
g361031227071,62,300,62,,11,81,62
g361031227072,59,253,59,,11,64,59
g361031228011,108,500,108,,11,110,108
g361031228012,99,445,99,,11,116,99
g361031228013,85,150,85,,11,85,85
g361031228014,138,749,136,,43,132,138
g361031228021,71,309,70,,42,90,71
g361031228022,76,292,84,,42,80,76
g361031229011,112,466,112,,11,119,112
g361031229012,92,383,81,,58,82,92
g361031229013,72,275,72,,11,74,72
g361031229014,104,421,107,,45,99,104
g361031229021,103,368,112,,39,90,103
g361031229022,77,235,77,,11,76,77
g361031229023,89,406,86,,38,84,89
g361031230011,69,457,69,,11,71,69
g361031230012,92,401,92,,11,92,92
g361031230013,106,429,103,,29,89,106
g361031230014,103,412,102,,35,100,103
g361031230021,86,305,80,,36,67,86
g361031230022,77,276,80,,29,76,77
g361031230023,80,314,85,,41,76,80
g361031231011,84,275,84,,11,84,84
g361031231012,75,270,73,,37,73,75
g361031231013,106,419,107,,52,97,106
g361031231021,82,277,80,,41,81,82
g361031231022,87,296,94,,47,99,87
g361031231023,67,269,67,,11,60,67
g361031232011,21,218,46,,40,35,21
g361031232021,132,594,123,,61,108,132
g361031232022,119,415,116,,65,36,119
g361031232023,141,1224,141,,47,137,141
g361031232024,139,1010,141,,60,143,139
g361031233011,177,674,183,,55,94,177
g361031233012,146,729,140,,52,91,146
g361031233013,93,291,85,,62,76,93
g361031233014,126,497,123,,49,108,126
g361031233015,150,672,142,,64,117,150
g361031233016,147,511,143,,50,121,147
g361031233021,24,341,61,,53,61,24
g361031234011,89,337,91,,48,85,89
g361031234012,103,457,102,,34,71,103
g361031234013,77,310,77,,11,66,77
g361031234021,124,506,124,,11,88,124
g361031234022,109,490,108,,26,113,109
g361031234023,128,461,131,,27,110,128
g361031234024,107,459,107,,11,88,107
g361031234025,100,373,93,,73,85,100
g361031235001,111,470,95,,64,89,111
g361031235002,115,422,95,,77,61,115
g361031235003,139,484,134,,102,84,139
g361031235004,148,392,145,,41,110,148
g361031236001,106,225,101,,89,94,106
g361031236002,59,162,58,,12,47,59
g361031236003,82,215,74,,43,67,82
g361031237011,104,593,102,,51,100,104
g361031237012,90,542,90,,11,46,90
g361031237013,104,397,108,,19,61,104
