GEOID,B11001_003M,B11001_004M,B11001_009M,B11001_008M
g361031101011,70,14,11,39
g361031101012,73,22,10,30
g361031101021,91,45,11,52
g361031101022,55,64,11,46
g361031101023,68,31,28,43
g361031101024,70,23,19,34
g361031102001,80,35,32,72
g361031102002,85,15,26,78
g361031102003,64,32,11,59
g361031102004,82,56,20,111
g361031102005,77,68,32,40
g361031103001,36,26,10,23
g361031103002,93,86,14,61
g361031103003,73,34,36,40
g361031103004,83,41,23,92
g361031103005,39,24,7,25
g361031104011,42,15,11,23
g361031104012,67,31,25,44
g361031104021,92,54,23,41
g361031104022,83,68,11,49
g361031105011,88,49,16,43
g361031105012,49,23,13,24
g361031105021,65,37,33,50
g361031105022,51,25,15,71
g361031106001,108,55,90,81
g361031106002,146,49,11,57
g361031106003,104,55,46,109
g361031106004,102,46,28,98
g361031106005,59,73,11,44
g361031108011,56,26,11,40
g361031108012,33,11,7,15
g361031108031,73,11,22,65
g361031108032,132,59,11,109
g361031108033,86,11,25,70
g361031108034,70,39,11,71
g361031109011,48,61,21,75
g361031109012,34,38,20,63
g361031109013,78,63,41,88
g361031109021,56,70,16,35
g361031109022,65,92,31,49
g361031109023,61,57,33,74
g361031110011,60,29,17,53
g361031110012,69,39,34,46
g361031110021,60,55,13,30
g361031110022,86,42,16,55
g361031110023,106,74,48,11
g361031110024,85,65,49,60
g361031111001,171,128,77,129
g361031111002,128,115,11,65
g361031111003,78,72,11,45
g361031111004,90,85,38,65
g361031111005,174,50,11,99
g361031112011,79,73,64,13
g361031112012,84,87,11,25
g361031112013,72,17,31,52
g361031112021,125,60,63,96
g361031112022,47,55,27,34
g361031112023,61,41,16,59
g361031113001,83,59,27,42
g361031113002,71,33,10,32
g361031113003,61,52,10,30
g361031114011,54,34,23,41
g361031114021,83,29,11,31
g361031114022,89,22,20,60
g361031114023,95,28,18,26
g361031114024,66,49,11,65
g361031115031,62,38,24,19
g361031115032,99,70,25,55
g361031115033,67,30,11,73
g361031115041,46,43,18,28
g361031115051,97,56,12,58
g361031115052,57,53,39,51
g361031115053,61,76,12,30
g361031115054,104,74,21,59
g361031115061,78,12,27,74
g361031115062,63,83,17,52
g361031116011,96,35,34,63
g361031116012,92,69,10,75
g361031116021,71,59,18,56
g361031116022,73,64,22,36
g361031117011,76,58,11,38
g361031117012,97,87,21,56
g361031117013,38,61,11,80
g361031117014,81,50,11,107
g361031117015,88,72,29,32
g361031117031,51,18,11,29
g361031117032,84,58,11,69
g361031117041,52,28,18,38
g361031117042,55,28,20,35
g361031117043,69,32,11,35
g361031118011,90,39,11,28
g361031118012,122,29,17,51
g361031118013,127,46,11,45
g361031118014,55,30,21,46
g361031118021,52,33,18,22
g361031118022,41,30,14,8
g361031118031,63,30,13,34
g361031118032,48,28,11,25
g361031118041,40,27,11,36
g361031119001,72,16,11,56
g361031119002,72,20,15,67
g361031119003,57,11,25,69
g361031119004,65,52,11,33
g361031119005,81,11,20,50
g361031120011,86,82,25,48
g361031120012,99,73,85,87
g361031120021,75,40,24,67
g361031120022,64,35,15,39
g361031120023,71,31,15,43
g361031121021,103,37,12,49
g361031121022,72,18,11,46
g361031121031,69,26,11,28
g361031121032,81,43,11,46
