GEOID,B25034_010E,B25034_009E,B25034_008E,B25034_007E,B25034_006E,B25034_005E,B25034_004E,B25034_003E,B25034_002E,B25034_001E
g361031101011,109,27,95,57,64,82,42,33,0,509
g361031101012,61,36,185,148,80,70,99,52,0,731
g361031101021,212,18,158,139,46,0,24,30,13,640
g361031101022,24,51,111,151,43,0,16,0,0,396
g361031101023,24,22,132,155,32,11,22,0,0,398
g361031101024,109,0,176,38,7,9,22,12,0,373
g361031102001,47,10,195,64,0,13,51,37,0,417
g361031102002,215,36,42,0,74,65,0,0,0,432
g361031102003,74,11,158,30,0,0,0,0,0,273
g361031102004,166,42,279,114,29,26,14,0,0,670
g361031102005,147,21,61,32,29,94,16,0,0,400
g361031103001,143,25,51,6,22,17,6,3,3,276
g361031103002,145,34,260,38,19,0,0,18,0,514
g361031103003,144,11,84,152,0,11,14,0,0,416
g361031103004,164,63,158,89,0,69,7,16,11,577
g361031103005,98,24,53,80,17,13,17,10,0,312
g361031104011,46,33,39,25,58,65,6,0,0,272
g361031104012,125,40,289,112,113,0,29,6,0,714
g361031104021,91,63,199,123,63,24,25,0,0,588
g361031104022,266,67,54,120,93,19,8,0,0,627
g361031105011,89,98,194,245,140,22,26,38,0,852
g361031105012,0,58,47,76,46,9,8,19,0,263
g361031105021,120,64,173,98,28,20,7,50,0,560
g361031105022,62,87,182,79,27,28,7,8,0,480
g361031106001,236,68,179,77,116,14,0,15,0,705
g361031106002,276,36,116,163,68,21,15,16,0,711
g361031106003,218,18,123,129,214,97,0,34,0,833
g361031106004,375,58,18,43,30,70,16,0,0,610
g361031106005,46,0,27,87,110,27,0,21,0,318
g361031108011,29,27,95,304,71,28,4,24,0,582
g361031108012,75,19,54,47,41,15,10,14,2,277
g361031108031,11,0,110,172,71,6,12,11,12,405
g361031108032,102,70,116,172,209,62,40,11,0,782
g361031108033,11,73,83,103,91,47,23,16,0,447
g361031108034,119,46,88,129,12,12,0,81,0,487
g361031109011,291,10,60,0,10,0,0,9,0,380
g361031109012,123,10,30,78,0,0,0,9,0,250
g361031109013,276,104,123,29,50,32,8,9,0,631
g361031109021,7,0,76,174,52,7,37,0,0,353
g361031109022,66,85,93,199,74,0,0,48,0,565
g361031109023,78,54,207,106,46,39,0,50,0,580
g361031110011,126,47,84,40,70,46,13,15,0,441
g361031110012,97,42,144,52,21,52,11,24,0,443
g361031110021,0,8,69,9,79,40,0,6,0,211
g361031110022,57,30,200,85,47,10,0,0,0,429
g361031110023,82,33,235,76,8,16,14,11,0,475
g361031110024,188,106,125,17,0,0,35,69,0,540
g361031111001,191,132,250,155,166,0,0,13,0,907
g361031111002,64,0,390,0,69,0,0,0,0,523
g361031111003,0,0,178,75,28,0,0,28,0,309
g361031111004,33,36,215,115,85,25,0,0,0,509
g361031111005,20,92,215,36,0,0,0,0,0,363
g361031112011,115,147,54,9,77,0,38,0,0,440
g361031112012,55,137,109,101,19,0,0,0,0,421
g361031112013,15,101,100,13,35,13,43,0,0,320
g361031112021,226,124,354,183,55,21,0,0,0,963
g361031112022,24,78,131,52,0,0,0,0,0,285
g361031112023,65,61,106,75,68,0,34,6,0,415
g361031113001,88,51,259,197,14,9,17,41,0,676
g361031113002,18,47,227,157,51,70,25,11,0,606
g361031113003,0,0,67,44,0,173,35,26,0,345
g361031114011,14,49,113,215,27,33,0,18,16,485
g361031114021,39,45,183,179,20,0,45,18,0,529
g361031114022,25,13,254,122,46,66,12,0,0,538
g361031114023,36,1,106,87,53,0,5,0,0,288
g361031114024,5,76,194,105,12,10,19,0,0,421
g361031115031,13,23,114,84,19,17,0,0,0,270
g361031115032,7,0,317,184,99,21,24,14,0,666
g361031115033,42,0,91,183,81,268,83,49,0,797
g361031115041,75,16,37,159,93,26,44,28,0,478
g361031115051,76,49,146,412,69,0,0,27,0,779
g361031115052,8,0,148,108,74,0,0,0,0,338
g361031115053,0,52,54,80,58,34,0,0,0,278
g361031115054,58,18,225,140,26,72,48,0,0,587
g361031115061,53,25,117,119,86,82,106,51,3,642
g361031115062,79,42,89,122,31,22,20,13,37,455
g361031116011,77,67,291,83,64,10,0,0,0,592
g361031116012,108,44,409,214,84,0,14,0,0,873
g361031116021,95,91,245,120,53,42,7,8,0,661
g361031116022,125,42,141,153,45,15,0,0,0,521
g361031117011,95,42,58,49,37,23,0,0,0,304
g361031117012,120,40,279,92,39,0,0,16,0,586
g361031117013,85,0,34,59,47,34,0,24,0,283
g361031117014,58,38,191,98,19,8,0,0,0,412
g361031117015,80,35,163,85,99,23,16,0,0,501
g361031117031,16,0,36,162,44,0,0,11,0,269
g361031117032,90,44,461,136,42,22,54,0,0,849
g361031117041,12,0,73,103,93,43,0,23,0,347
g361031117042,0,0,178,149,22,7,0,0,0,356
g361031117043,20,11,266,18,19,37,21,8,0,400
g361031118011,36,8,56,233,0,23,0,0,0,356
g361031118012,50,8,77,331,58,2,0,0,0,526
g361031118013,7,13,358,125,279,53,0,0,0,835
g361031118014,25,38,87,164,10,0,0,0,0,324
g361031118021,29,62,163,278,18,0,4,44,0,598
g361031118022,0,0,45,263,34,3,9,0,0,354
g361031118031,21,6,95,348,37,7,0,0,0,514
g361031118032,18,0,119,175,17,0,16,7,0,352
g361031118041,24,28,194,345,71,12,33,20,6,733
g361031119001,29,66,185,77,94,8,0,0,0,459
g361031119002,27,13,291,47,0,9,32,12,0,431
g361031119003,8,0,101,92,42,11,43,0,13,310
g361031119004,60,42,243,48,0,17,19,9,0,438
g361031119005,18,0,112,52,130,43,15,40,0,410
g361031120011,21,42,373,66,42,21,14,0,0,579
g361031120012,76,62,453,234,123,137,27,30,0,1142
g361031120021,25,94,277,288,15,54,69,8,0,830
g361031120022,21,0,229,137,23,28,0,0,8,446
g361031120023,57,8,226,163,26,8,18,19,0,525
g361031121021,0,28,335,277,83,6,0,42,0,771
g361031121022,24,27,13,123,216,67,24,6,0,500
g361031121031,0,15,242,68,0,6,0,0,0,331
g361031121032,0,28,270,312,26,0,10,0,0,646
g361031121033,8,0,48,118,39,36,163,187,0,599
g361031121041,31,49,115,157,78,64,160,111,0,765
g361031122041,9,29,236,135,7,0,0,0,0,416
g361031122042,9,0,244,128,34,8,0,0,0,423
g361031122043,10,43,205,177,20,0,11,0,0,466
g361031122061,20,0,0,66,0,201,561,352,0,1200
g361031122062,0,0,96,0,59,0,145,329,0,629
g361031122063,91,0,58,215,100,248,231,36,0,979
g361031122064,0,0,72,70,13,0,53,0,0,208
g361031122101,0,0,18,241,63,0,60,0,0,382
g361031122102,0,42,46,155,248,65,0,166,0,722
g361031122103,0,90,90,296,40,137,31,1,0,685
g361031122104,0,12,14,110,312,79,54,0,0,581
g361031122111,9,0,24,299,97,207,0,0,0,636
g361031122112,0,23,73,313,5,26,28,0,0,468
g361031122113,0,0,51,254,30,0,0,0,0,335
g361031122121,22,0,52,133,83,9,3,19,0,321
g361031122122,20,39,73,216,217,21,64,12,33,695
g361031122131,18,0,14,198,277,187,13,42,0,749
g361031122132,18,0,77,258,37,7,36,0,0,433
g361031122133,39,0,14,202,32,12,115,45,0,459
g361031122141,0,38,86,74,33,20,0,42,0,293
g361031122142,0,0,37,396,283,80,28,39,0,863
g361031122143,0,12,100,38,69,7,77,1060,0,1363
g361031122144,0,0,23,81,32,87,14,15,0,252
g361031223001,10,75,129,91,21,130,49,19,0,524
g361031223002,72,202,291,137,17,14,31,34,0,798
g361031224031,9,0,30,311,90,40,5,0,0,485
g361031224032,5,7,63,155,18,0,51,26,0,325
g361031224041,23,104,494,38,5,15,0,6,0,685
g361031224042,30,30,239,61,32,0,34,0,0,426
g361031224051,22,100,165,284,71,7,64,28,0,741
g361031224052,9,0,6,121,78,38,10,0,0,262
