GEOID,B25034_010M,B25034_009M,B25034_008M,B25034_007M,B25034_006M,B25034_005M,B25034_004M,B25034_003M,B25034_002M
g361031101011,51,20,41,26,44,42,41,30,11
g361031101012,30,42,61,53,40,35,56,24,11
g361031101021,81,24,63,79,32,11,22,21,16
g361031101022,25,52,53,69,26,11,20,11,11
g361031101023,27,26,51,54,28,17,19,11,11
g361031101024,59,11,49,30,11,14,35,18,11
g361031102001,38,18,92,53,11,22,40,45,11
g361031102002,119,41,32,11,69,49,11,11,11
g361031102003,47,17,89,25,11,11,11,11,11
g361031102004,110,40,103,64,34,30,23,11,11
g361031102005,96,32,42,34,34,81,25,11,11
g361031103001,40,14,22,8,12,16,7,5,4
g361031103002,76,31,98,35,21,11,11,20,11
g361031103003,86,16,46,65,11,17,20,11,11
g361031103004,63,38,75,58,11,77,11,23,17
g361031103005,32,14,23,27,12,16,13,16,11
g361031104011,22,21,22,22,32,42,9,11,11
g361031104012,44,31,60,39,42,11,28,9,11
g361031104021,57,44,78,56,40,26,23,11,11
g361031104022,81,50,36,73,66,24,14,11,11
g361031105011,55,61,53,75,63,24,24,29,11
g361031105012,11,37,34,53,29,14,14,20,11
g361031105021,54,53,67,49,26,21,11,42,11
g361031105022,39,72,55,39,25,33,12,11,11
g361031106001,104,69,89,63,72,26,11,26,11
g361031106002,137,42,68,110,52,34,24,27,11
g361031106003,75,28,103,63,95,59,11,38,11
g361031106004,125,54,30,50,36,74,26,11,11
g361031106005,63,11,37,50,101,32,11,33,11
g361031108011,28,26,39,61,28,19,7,22,11
g361031108012,21,18,24,25,21,10,10,9,3
g361031108031,19,11,64,87,52,12,20,17,20
g361031108032,91,79,57,76,111,61,30,19,11
g361031108033,19,36,75,71,65,35,26,21,11
g361031108034,86,53,61,77,20,20,11,63,11
g361031109011,74,17,72,11,16,11,11,14,11
g361031109012,71,16,21,59,11,11,11,15,11
g361031109013,79,72,74,27,27,37,12,15,11
g361031109021,10,11,55,61,40,10,43,11,11
g361031109022,48,53,61,82,39,11,11,61,11
g361031109023,45,44,64,52,34,35,11,43,11
g361031110011,46,37,39,28,37,36,10,15,11
g361031110012,45,33,63,31,18,38,16,16,11
g361031110021,11,14,52,13,61,27,11,9,11
g361031110022,54,26,80,42,50,15,11,11,11
g361031110023,63,37,91,53,15,17,23,18,11
g361031110024,99,53,66,17,11,11,34,39,11
g361031111001,122,128,171,91,134,11,11,26,11
g361031111002,68,11,129,11,67,11,11,11,11
g361031111003,11,11,73,67,36,11,11,44,11
g361031111004,48,40,88,70,68,33,11,11,11
g361031111005,31,86,175,40,11,11,11,11,11
g361031112011,98,86,46,15,59,11,50,11,11
g361031112012,45,69,71,72,20,11,11,11,11
g361031112013,18,64,45,16,36,20,49,11,11
g361031112021,93,75,95,102,47,23,11,11,11
g361031112022,23,61,64,44,11,11,11,11,11
g361031112023,40,35,50,66,35,11,36,11,11
g361031113001,45,29,74,69,16,12,23,50,11
g361031113002,22,31,78,60,32,27,23,17,11
g361031113003,11,11,52,31,11,61,29,31,11
