GEOID,B25038_001E,B25038_003E,B25038_004E,B25038_005E,B25038_006E,B25038_007E,B25038_008E,B25038_010E,B25038_011E,B25038_012E,B25038_013E,B25038_014E,B25038_015E
g361031101011,466,9,91,120,98,22,62,20,5,39,0,0,0
g361031101012,681,71,220,195,55,55,63,16,6,0,0,0,0
g361031101021,613,29,217,104,69,46,68,64,16,0,0,0,0
g361031101022,362,70,86,83,59,53,11,0,0,0,0,0,0
g361031101023,385,23,185,72,25,40,32,0,0,0,0,0,8
g361031101024,373,7,151,66,20,80,23,0,16,10,0,0,0
g361031102001,402,58,113,124,52,16,23,0,0,0,0,0,16
g361031102002,335,15,45,37,27,49,31,100,31,0,0,0,0
g361031102003,258,27,28,56,32,32,16,45,22,0,0,0,0
g361031102004,670,39,273,205,73,16,15,0,36,0,13,0,0
g361031102005,357,25,0,188,34,28,14,47,21,0,0,0,0
g361031103001,266,22,98,48,37,32,19,4,3,0,0,0,3
g361031103002,514,30,242,85,23,57,77,0,0,0,0,0,0
g361031103003,394,14,162,46,11,23,36,11,58,12,0,21,0
g361031103004,561,18,154,77,40,80,51,41,100,0,0,0,0
g361031103005,306,31,95,85,39,28,22,3,3,0,0,0,0
g361031104011,266,18,64,96,60,13,8,0,7,0,0,0,0
g361031104012,698,47,214,164,62,59,101,26,11,0,0,10,4
g361031104021,588,34,195,161,35,67,76,0,10,0,0,0,10
g361031104022,563,103,182,63,66,23,36,31,39,10,0,10,0
g361031105011,792,105,247,212,91,43,47,0,47,0,0,0,0
g361031105012,239,9,86,48,20,45,19,0,12,0,0,0,0
g361031105021,502,36,157,118,42,50,36,7,48,8,0,0,0
g361031105022,480,43,87,136,44,48,75,47,0,0,0,0,0
g361031106001,688,15,201,88,21,96,55,67,128,17,0,0,0
g361031106002,667,16,132,176,23,106,81,116,17,0,0,0,0
g361031106003,784,64,126,150,122,112,45,89,76,0,0,0,0
g361031106004,536,0,46,158,68,15,15,94,124,0,0,16,0
g361031106005,258,3,69,66,15,46,13,46,0,0,0,0,0
g361031108011,529,55,132,133,55,82,60,0,12,0,0,0,0
g361031108012,220,15,55,48,31,16,17,8,30,0,0,0,0
g361031108031,363,12,86,157,50,12,21,0,25,0,0,0,0
g361031108032,753,52,171,242,46,49,31,144,18,0,0,0,0
g361031108033,418,15,86,124,81,49,63,0,0,0,0,0,0
g361031108034,439,11,167,130,72,0,0,17,42,0,0,0,0
g361031109011,351,0,96,58,21,31,27,0,118,0,0,0,0
g361031109012,223,9,73,36,9,34,12,35,15,0,0,0,0
g361031109013,631,24,185,75,63,11,44,85,144,0,0,0,0
g361031109021,329,0,63,47,0,25,20,67,100,0,0,0,7
g361031109022,488,14,46,48,0,8,15,108,133,58,19,39,0
g361031109023,557,40,124,84,48,28,68,102,44,19,0,0,0
g361031110011,430,38,148,96,5,17,28,25,50,6,0,5,12
g361031110012,443,38,121,26,42,11,40,101,58,6,0,0,0
g361031110021,211,8,62,8,8,0,0,19,86,11,9,0,0
g361031110022,380,39,82,52,39,24,36,48,56,4,0,0,0
g361031110023,475,65,64,53,37,0,27,52,177,0,0,0,0
g361031110024,540,60,181,44,9,22,24,30,160,10,0,0,0
g361031111001,907,0,226,57,10,81,220,0,145,168,0,0,0
g361031111002,503,0,148,79,80,0,20,71,105,0,0,0,0
g361031111003,309,13,98,37,19,40,38,0,43,21,0,0,0
g361031111004,509,0,115,153,14,30,105,0,73,0,19,0,0
g361031111005,363,16,31,144,18,0,18,136,0,0,0,0,0
g361031112011,371,29,31,46,0,5,7,64,95,51,43,0,0
g361031112012,413,0,147,67,44,61,12,51,0,31,0,0,0
g361031112013,320,34,47,45,33,6,65,16,74,0,0,0,0
g361031112021,862,17,104,214,65,80,79,32,238,33,0,0,0
g361031112022,230,0,90,31,0,20,18,43,19,0,0,0,9
g361031112023,415,44,60,87,31,61,66,41,13,12,0,0,0
g361031113001,610,56,173,186,39,24,52,32,28,9,11,0,0
g361031113002,606,24,194,169,130,35,54,0,0,0,0,0,0
g361031113003,345,0,125,89,89,0,32,10,0,0,0,0,0
g361031114011,450,52,134,102,68,40,50,4,0,0,0,0,0
g361031114021,529,19,222,117,33,46,77,0,15,0,0,0,0
g361031114022,529,14,111,249,29,46,68,0,0,12,0,0,0
g361031114023,288,20,84,54,74,13,43,0,0,0,0,0,0
g361031114024,386,27,83,63,79,35,18,27,48,6,0,0,0
g361031115031,270,0,90,98,10,22,50,0,0,0,0,0,0
g361031115032,629,54,126,182,40,56,46,62,63,0,0,0,0
g361031115033,734,43,78,53,34,17,32,213,218,40,6,0,0
g361031115041,478,35,127,179,56,41,8,15,12,5,0,0,0
g361031115051,772,38,271,158,110,44,113,10,28,0,0,0,0
g361031115052,318,23,122,44,14,35,23,0,48,0,0,9,0
g361031115053,268,0,171,27,7,0,35,11,17,0,0,0,0
g361031115054,555,0,242,68,72,53,56,28,36,0,0,0,0
g361031115061,642,48,229,199,70,48,20,3,25,0,0,0,0
g361031115062,455,54,71,83,88,36,20,47,11,45,0,0,0
g361031116011,569,48,112,81,39,79,73,54,34,49,0,0,0
g361031116012,827,40,161,209,83,75,53,26,93,87,0,0,0
g361031116021,634,38,145,174,81,33,79,44,30,10,0,0,0
g361031116022,495,23,127,88,34,119,69,0,35,0,0,0,0
g361031117011,304,4,7,87,43,61,47,13,42,0,0,0,0
g361031117012,556,0,142,66,27,147,50,0,124,0,0,0,0
g361031117013,283,13,64,15,10,54,9,85,19,14,0,0,0
g361031117014,412,0,113,53,30,74,29,46,67,0,0,0,0
g361031117015,494,13,110,117,57,91,58,0,33,0,0,15,0
g361031117031,269,0,72,87,47,0,46,17,0,0,0,0,0
g361031117032,825,61,156,220,57,76,140,60,55,0,0,0,0
g361031117041,347,50,127,95,26,29,20,0,0,0,0,0,0
g361031117042,356,26,62,100,35,46,87,0,0,0,0,0,0
g361031117043,380,7,123,128,46,39,18,8,0,0,0,0,11
g361031118011,318,23,53,76,81,28,57,0,0,0,0,0,0
g361031118012,496,30,174,128,23,27,112,2,0,0,0,0,0
g361031118013,830,14,186,197,164,116,125,20,8,0,0,0,0
g361031118014,324,40,69,60,42,25,63,0,0,0,0,0,25
g361031118021,579,34,143,113,125,44,93,21,6,0,0,0,0
g361031118022,319,19,75,83,64,17,46,9,6,0,0,0,0
g361031118031,514,12,131,119,92,80,61,19,0,0,0,0,0
g361031118032,352,24,67,78,38,60,67,0,18,0,0,0,0
g361031118041,733,71,190,225,40,107,62,21,13,4,0,0,0
g361031119001,459,48,111,100,76,80,32,12,0,0,0,0,0
g361031119002,377,0,163,77,24,48,55,10,0,0,0,0,0
g361031119003,310,34,53,98,11,7,15,74,10,0,8,0,0
g361031119004,429,30,116,134,51,38,52,8,0,0,0,0,0
g361031119005,377,13,168,82,8,27,19,30,30,0,0,0,0
g361031120011,579,18,158,101,47,94,88,0,51,22,0,0,0
g361031120012,1089,57,342,107,204,114,89,74,91,0,0,0,11
g361031120021,773,44,218,152,27,65,66,124,69,8,0,0,0
g361031120022,446,18,112,80,85,58,65,19,9,0,0,0,0
g361031120023,472,37,145,67,25,38,111,32,17,0,0,0,0
g361031121021,771,35,192,205,140,88,91,20,0,0,0,0,0
g361031121022,476,85,77,130,71,78,8,27,0,0,0,0,0
g361031121031,331,0,126,68,50,9,70,0,0,0,0,0,8
g361031121032,617,28,148,197,62,67,115,0,0,0,0,0,0
g361031121033,548,11,130,94,13,23,42,153,82,0,0,0,0
g361031121041,741,31,303,187,48,43,43,0,86,0,0,0,0
g361031122041,416,12,100,124,74,72,34,0,0,0,0,0,0
g361031122042,423,0,143,53,44,52,71,32,0,0,0,21,7
g361031122043,466,51,180,68,56,38,50,0,11,12,0,0,0
g361031122061,1155,119,428,126,11,0,0,304,128,39,0,0,0
g361031122062,629,34,304,137,0,22,49,0,83,0,0,0,0
g361031122063,979,66,309,234,237,26,46,25,16,20,0,0,0
g361031122064,155,30,24,15,15,33,38,0,0,0,0,0,0
g361031122101,382,0,122,127,40,18,75,0,0,0,0,0,0
g361031122102,684,24,206,94,166,141,30,0,0,23,0,0,0
g361031122103,645,0,158,173,85,0,0,84,131,14,0,0,0
g361031122104,564,31,131,223,52,73,0,54,0,0,0,0,0
g361031122111,611,41,239,153,49,40,35,0,54,0,0,0,0
g361031122112,461,5,119,147,36,25,108,21,0,0,0,0,0
g361031122113,311,20,110,75,8,31,65,2,0,0,0,0,0
g361031122121,314,17,111,29,95,19,43,0,0,0,0,0,0
