GEOID,B25038_001M,B25038_003M,B25038_004M,B25038_005M,B25038_006M,B25038_007M,B25038_008M,B25038_010M,B25038_011M,B25038_012M,B25038_013M,B25038_014M,B25038_015M
g361031101011,75,10,33,59,37,17,34,30,9,41,11,11,11
g361031101012,78,35,66,52,28,26,30,26,10,11,11,11,11
g361031101021,88,24,83,43,41,35,39,68,25,11,11,11,11
g361031101022,67,48,51,38,39,36,18,11,11,11,11,11,11
g361031101023,66,27,76,42,23,32,29,11,11,11,11,11,14
g361031101024,64,11,60,41,19,54,27,11,19,15,11,11,11
g361031102001,85,50,79,56,44,25,35,11,11,11,11,11,25
g361031102002,95,25,56,43,24,45,38,75,27,11,11,11,11
g361031102003,80,40,28,38,19,34,26,69,32,11,11,11,11
g361031102004,100,37,100,103,53,27,24,11,41,11,20,11,11
g361031102005,101,28,11,76,39,24,23,74,32,11,11,11,11
g361031103001,45,13,34,24,18,16,18,6,6,11,11,11,5
g361031103002,75,27,88,45,18,36,84,11,11,11,11,11,11
g361031103003,76,21,84,34,17,24,31,17,39,18,11,33,11
g361031103004,101,20,62,42,29,34,32,50,91,11,11,11,11
g361031103005,45,25,32,31,19,17,11,5,5,11,11,11,11
g361031104011,44,12,33,34,35,14,11,11,11,11,11,11,11
g361031104012,53,25,56,42,35,26,32,27,17,11,11,10,6
g361031104021,83,35,70,67,30,41,31,11,16,11,11,11,14
g361031104022,97,60,79,39,41,21,27,37,44,18,11,16,11
g361031105011,73,54,84,72,44,30,33,11,33,11,11,11,11
g361031105012,37,13,35,35,22,31,21,11,20,11,11,11,11
g361031105021,72,39,63,47,49,30,25,11,39,14,11,11,11
g361031105022,72,33,39,45,29,34,36,64,11,11,11,11,11
g361031106001,110,26,91,68,35,65,43,60,98,28,11,11,11
g361031106002,144,27,86,80,37,57,47,109,27,11,11,11,11
g361031106003,111,56,56,64,72,59,37,77,54,11,11,11,11
g361031106004,115,11,44,77,51,23,22,94,91,11,11,24,11
g361031106005,72,12,56,54,24,42,21,63,11,11,11,11,11
g361031108011,44,32,41,44,26,32,32,11,17,11,11,11,11
g361031108012,33,10,21,17,14,11,11,8,19,11,11,11,11
g361031108031,75,20,53,76,38,19,34,11,27,11,11,11,11
g361031108032,116,45,94,120,44,41,35,96,29,11,11,11,11
g361031108033,90,25,61,64,71,43,47,11,11,11,11,11,11
g361031108034,91,17,94,61,48,11,11,28,40,11,11,11,11
g361031109011,96,11,57,33,24,26,24,11,77,11,11,11,11
g361031109012,71,15,43,33,14,30,18,54,25,11,11,11,11
g361031109013,85,21,74,45,53,16,26,54,63,11,11,11,11
g361031109021,76,11,41,25,11,19,18,57,59,11,11,11,10
g361031109022,84,17,42,41,11,13,18,64,56,51,30,39,11
g361031109023,78,30,64,44,32,23,38,61,42,29,11,11,11
g361031110011,57,27,58,37,8,22,17,20,43,10,11,9,12
g361031110012,66,24,61,22,25,12,29,51,42,9,11,11,11
g361031110021,64,12,43,14,14,11,11,22,70,18,16,11,11
g361031110022,77,39,51,42,26,21,21,58,45,7,11,11,11
g361031110023,100,51,61,39,40,11,23,61,91,11,11,11,11
g361031110024,105,34,68,33,13,21,23,46,100,15,11,11,11
g361031111001,188,11,152,51,18,95,143,11,105,137,11,11,11
g361031111002,148,11,99,60,90,11,32,90,75,11,11,11,11
g361031111003,103,22,83,45,32,46,43,11,63,34,11,11,11
g361031111004,117,11,79,84,22,37,69,11,59,11,32,11,11
g361031111005,148,25,49,110,29,11,28,107,11,11,11,11,11
g361031112011,95,47,29,52,11,11,11,61,80,55,49,11,11
g361031112012,86,11,78,52,36,45,14,53,11,48,11,11,11
