GEOID,C17002_001M,C17002_002M,C17002_003M,C17002_004M,C17002_005M,C17002_006M,C17002_007M,C17002_008M
g361031101011,273,30,19,5,11,32,11,278
g361031101012,275,62,45,21,8,11,11,281
g361031101021,296,17,16,44,11,10,11,300
g361031101022,170,12,25,11,22,97,11,179
g361031101023,261,11,21,11,11,20,11,266
g361031101024,224,25,11,11,11,11,68,223
g361031102001,280,23,9,3,6,11,11,283
g361031102002,210,11,4,33,27,11,11,210
g361031102003,220,108,11,29,11,11,112,166
g361031102004,227,40,11,11,11,59,18,248
g361031102005,417,11,236,11,11,15,11,385
g361031103001,100,38,11,11,15,6,6,93
g361031103002,486,15,11,14,11,100,11,498
g361031103003,230,39,11,11,17,18,11,230
g361031103004,246,25,11,14,11,28,11,251
g361031103005,163,9,74,23,5,27,11,143
g361031104011,200,11,11,11,11,55,11,202
g361031104012,215,24,8,11,41,47,7,206
g361031104021,306,11,25,22,23,16,58,317
g361031104022,313,28,86,11,11,54,11,282
g361031105011,370,27,19,27,57,151,11,373
g361031105012,150,84,96,11,11,11,11,158
g361031105021,241,22,50,17,64,11,39,246
g361031105022,222,20,21,6,57,11,13,217
g361031106001,323,34,63,104,11,26,11,353
g361031106002,452,11,11,25,111,11,85,458
g361031106003,306,76,44,74,26,58,11,311
g361031106004,304,11,11,11,27,152,19,296
g361031106005,223,11,11,11,24,42,126,233
g361031108011,160,29,20,56,29,11,11,167
g361031108012,102,21,11,11,10,33,11,97
g361031108031,305,92,203,11,11,22,11,238
g361031108032,514,145,80,20,11,258,73,462
g361031108033,359,11,24,11,11,25,11,358
g361031108034,369,11,47,11,11,92,11,372
g361031109011,387,21,24,69,11,11,11,386
g361031109012,149,11,54,11,11,11,11,150
g361031109013,247,29,11,11,21,28,11,241
g361031109021,366,270,148,150,11,73,11,207
g361031109022,347,80,324,93,152,221,11,144
g361031109023,241,34,122,11,18,16,37,235
g361031110011,195,13,76,163,11,119,11,167
g361031110012,246,35,75,20,59,16,11,261
g361031110021,260,13,145,41,198,16,11,110
g361031110022,253,13,27,138,11,11,68,236
g361031110023,590,321,485,185,103,265,180,303
g361031110024,436,257,148,24,52,93,75,359
g361031111001,933,125,421,645,122,190,154,570
g361031111002,864,95,73,11,482,11,11,741
g361031111003,473,11,96,270,27,120,11,479
g361031111004,538,105,220,274,218,29,11,388
g361031111005,710,49,94,11,11,62,11,767
g361031112011,941,80,279,254,17,161,11,668
g361031112012,486,100,203,15,387,257,11,442
g361031112013,288,36,45,17,32,33,11,285
g361031112021,501,32,70,16,31,22,11,502
g361031112022,229,112,59,11,119,11,11,129
g361031112023,268,4,11,5,90,71,79,289
g361031113001,292,11,67,20,62,56,11,289
g361031113002,236,11,39,45,11,11,74,229
g361031113003,204,17,19,11,11,11,11,199
g361031114011,166,21,14,10,11,21,11,150
g361031114021,303,11,24,11,95,53,37,297
g361031114022,407,11,40,11,28,45,11,410
g361031114023,304,22,13,51,11,30,11,299
g361031114024,251,9,124,18,11,11,11,236
g361031115031,198,28,21,11,86,11,11,195
g361031115032,612,53,569,52,11,101,25,347
g361031115033,254,19,31,39,79,87,19,272
g361031115041,106,12,55,2,48,108,31,134
g361031115051,347,72,20,11,28,43,11,314
g361031115052,327,16,15,58,25,103,180,272
g361031115053,309,17,25,14,11,33,11,313
g361031115054,579,11,216,255,11,11,155,502
g361031115061,254,23,46,14,39,15,11,253
g361031115062,412,43,41,11,288,71,11,411
g361031116011,304,44,14,11,98,31,14,296
g361031116012,280,46,44,2,14,11,126,309
g361031116021,253,53,11,18,84,16,18,273
g361031116022,280,11,6,18,23,236,43,278
g361031117011,266,11,46,11,28,79,11,256
g361031117012,351,104,81,270,11,11,11,283
g361031117013,235,11,16,60,11,29,11,240
g361031117014,278,11,111,11,12,7,11,285
g361031117015,349,34,24,39,11,11,45,352
g361031117031,179,46,73,11,11,11,11,182
g361031117032,205,11,92,47,14,173,49,276
g361031117041,231,30,11,11,33,11,28,222
g361031117042,181,11,11,11,11,11,14,182
g361031117043,214,11,25,15,11,16,11,219
g361031118011,327,9,3,2,19,118,11,315
g361031118012,524,11,46,11,156,229,11,479
g361031118013,476,11,11,85,13,89,29,453
g361031118014,204,80,11,11,25,37,11,183
g361031118021,181,37,32,12,121,129,12,223
g361031118022,169,35,11,11,11,111,11,152
g361031118031,207,33,11,11,46,44,70,209
g361031118032,204,11,17,11,27,13,111,209
g361031118041,152,25,25,162,11,56,46,211
g361031119001,209,11,11,11,54,43,11,231
g361031119002,227,22,11,11,11,77,11,230
g361031119003,163,51,12,11,11,15,11,179
g361031119004,252,41,11,101,11,87,11,250
g361031119005,347,20,11,11,11,47,11,366
g361031120011,349,31,44,20,152,12,11,295
g361031120012,366,175,36,195,11,44,97,355
g361031120021,296,30,41,47,14,40,11,298
g361031120022,189,18,11,12,11,45,2,190
g361031120023,248,27,14,27,22,28,11,259
g361031121021,393,15,70,28,111,52,24,384
g361031121022,290,11,67,11,7,78,112,285
g361031121031,212,11,41,11,57,62,16,217
g361031121032,310,23,95,37,32,11,152,340
g361031121033,278,65,21,98,53,14,18,275
g361031121041,221,123,35,24,130,59,41,273
g361031122041,202,89,14,11,17,11,11,214
g361031122042,264,30,15,11,11,10,11,257
g361031122043,220,34,14,17,11,78,19,226
g361031122061,440,129,175,11,204,84,11,449
g361031122062,354,112,91,11,32,20,11,365
g361031122063,451,111,83,46,50,24,88,433
g361031122064,211,11,11,11,11,11,11,211
g361031122101,365,6,6,7,37,11,11,375
g361031122102,428,34,27,11,45,190,11,429
g361031122103,524,11,11,11,11,11,72,512
g361031122104,518,75,38,11,15,94,49,518
g361031122111,408,20,11,142,260,11,11,398
g361031122112,323,50,41,11,28,11,11,333
g361031122113,259,34,11,186,11,60,11,208
g361031122121,216,3,78,11,11,130,46,188
g361031122122,347,47,26,19,11,13,11,370
g361031122131,309,68,43,63,112,67,49,340
g361031122132,249,54,44,11,11,20,11,252
g361031122133,294,48,81,11,12,11,11,295
g361031122141,547,11,11,11,425,11,11,361
g361031122142,498,87,36,21,21,305,11,406
g361031122143,429,123,63,74,22,28,45,410
g361031122144,288,11,11,11,11,11,11,288
g361031223001,304,33,73,18,11,11,43,312
g361031223002,408,13,122,125,69,101,37,480
