GEOID,B03002_001E,B03002_003E,B03002_004E,B03002_012E,B03002_006E
g361031101011,1463,1374,0,48,41
g361031101012,2221,2047,0,64,80
g361031101021,1874,1685,0,146,21
g361031101022,1064,941,0,15,74
g361031101023,992,937,0,28,27
g361031101024,1111,1073,0,38,0
g361031102001,1158,1055,0,85,18
g361031102002,640,607,0,17,16
g361031102003,656,560,0,96,0
g361031102004,1345,1209,0,32,104
g361031102005,1031,1031,0,0,0
g361031103001,610,544,0,37,29
g361031103002,1582,1489,0,71,22
g361031103003,943,754,0,151,28
g361031103004,1191,1138,0,46,0
g361031103005,831,786,0,3,20
g361031104011,861,789,0,63,0
g361031104012,2019,1783,5,204,20
g361031104021,1682,1648,0,11,8
g361031104022,1454,1310,31,30,83
g361031105011,2581,2471,0,41,50
g361031105012,691,662,0,9,20
g361031105021,1450,1244,37,97,55
g361031105022,1421,1326,0,47,12
g361031106001,1723,1624,0,0,68
g361031106002,1822,1650,0,28,123
g361031106003,1988,1897,8,13,34
g361031106004,1224,1118,0,94,12
g361031106005,660,617,0,0,43
g361031108011,1374,1215,4,65,55
g361031108012,576,544,0,9,9
g361031108031,1270,1126,39,52,53
g361031108032,2265,2113,0,152,0
g361031108033,1171,1061,0,30,80
g361031108034,1104,1030,0,46,28
g361031109011,947,682,0,265,0
g361031109012,430,430,0,0,0
g361031109013,1362,1235,0,91,0
g361031109021,1134,420,115,575,24
g361031109022,1465,148,480,746,7
g361031109023,1270,1207,0,54,9
g361031110011,1147,699,60,192,146
g361031110012,1121,962,32,105,22
g361031110021,602,196,61,301,0
g361031110022,985,719,23,106,137
g361031110023,2651,154,546,1951,0
g361031110024,1464,631,190,542,36
g361031111001,3030,930,171,1886,43
g361031111002,2138,978,17,1066,57
g361031111003,1089,437,181,328,97
g361031111004,1795,566,0,1113,101
g361031111005,1060,698,0,362,0
g361031112011,2064,252,154,1607,0
g361031112012,1676,779,126,771,0
g361031112013,844,707,41,14,82
g361031112021,2476,1697,280,434,41
g361031112022,594,317,0,277,0
g361031112023,1264,690,64,361,106
g361031113001,1786,1669,16,35,56
g361031113002,1852,1707,0,129,8
g361031113003,1080,978,102,0,0
g361031114011,1290,1187,27,39,7
g361031114021,1683,1498,110,50,25
g361031114022,1671,1510,0,117,44
g361031114023,805,627,0,145,33
g361031114024,955,785,0,39,131
g361031115031,757,619,78,15,31
g361031115032,2293,1064,872,305,33
g361031115033,1498,1310,8,36,37
g361031115041,1430,1093,53,37,187
g361031115051,2849,2270,301,200,42
g361031115052,1054,397,357,167,39
g361031115053,841,139,150,487,65
g361031115054,2026,664,639,635,40
g361031115061,1804,1499,29,64,190
g361031115062,1805,388,668,588,96
g361031116011,1479,1180,60,189,16
g361031116012,2210,2071,22,74,18
g361031116021,1785,1667,0,59,23
g361031116022,1474,1350,89,35,0
g361031117011,819,688,17,114,0
g361031117012,1596,1178,0,418,0
g361031117013,829,635,0,0,194
g361031117014,977,879,0,83,8
g361031117015,1558,1452,0,106,0
g361031117031,899,652,0,158,79
g361031117032,2242,1978,0,159,57
g361031117041,1160,1087,25,33,15
g361031117042,935,857,0,31,12
g361031117043,1054,975,0,79,0
g361031118011,918,789,0,2,127
g361031118012,1554,1444,0,0,108
g361031118013,2515,2344,0,50,121
g361031118014,807,694,0,113,0
g361031118021,1785,1716,0,43,5
g361031118022,1103,1039,28,11,21
g361031118031,1512,1216,0,213,73
g361031118032,1163,902,89,57,115
g361031118041,2322,2103,0,44,175
g361031119001,1165,1047,8,64,26
g361031119002,862,787,0,25,50
g361031119003,736,720,0,16,0
g361031119004,1182,905,0,80,197
g361031119005,1179,1100,10,44,15
g361031120011,1695,1281,47,254,113
g361031120012,2889,2290,33,176,355
g361031120021,2160,1820,69,215,38
g361031120022,1203,1153,39,10,0
g361031120023,1515,1219,19,162,95
g361031121021,2520,2021,22,114,344
g361031121022,1421,1269,32,77,37
g361031121031,976,931,0,45,0
g361031121032,1841,1571,46,96,16
g361031121033,1657,1458,20,153,26
g361031121041,2491,1754,38,112,329
g361031122041,1297,1230,0,67,0
g361031122042,1132,1007,10,102,13
g361031122043,1398,1197,0,120,58
g361031122061,3139,2139,111,450,439
g361031122062,1833,1734,0,65,0
g361031122063,2670,2158,36,153,252
g361031122064,488,367,0,0,106
g361031122101,1108,924,46,60,78
g361031122102,2096,1872,81,63,46
g361031122103,2272,1594,58,7,597
g361031122104,1810,1560,72,66,81
g361031122111,2285,1789,92,226,170
g361031122112,1513,1165,110,141,97
g361031122113,959,910,0,15,13
g361031122121,922,693,30,0,170
g361031122122,2373,1613,220,162,352
g361031122131,2593,1846,105,268,329
g361031122132,1225,823,172,124,106
g361031122133,1381,1007,157,5,183
g361031122141,993,704,0,57,232
g361031122142,2900,2041,559,10,257
g361031122143,2505,2419,15,32,24
g361031122144,873,526,176,27,144
g361031223001,1903,1093,50,494,148
g361031223002,2556,1547,54,780,81
g361031224031,1412,478,688,88,105
g361031224032,1066,67,786,151,5
g361031224041,2250,1655,89,406,43
g361031224042,1392,1061,46,285,0
g361031224051,2892,280,2112,428,72
g361031224052,907,447,308,0,111
g361031224061,1575,142,1042,358,0
g361031224062,1963,39,1237,645,0
g361031224063,1930,37,1214,597,0
g361031225011,1130,51,656,320,26
g361031225012,1362,93,933,336,0
g361031225013,1380,36,1082,262,0
g361031225021,2940,102,2065,761,0
g361031225022,703,48,487,168,0
g361031225023,979,21,875,74,0
