GEOID,B03002_003M,B03002_004M,B03002_012M,B03002_006M
g361031101011,275,11,38,20
g361031101012,259,11,82,59
g361031101021,318,11,186,27
g361031101022,172,11,19,53
g361031101023,265,11,24,41
g361031101024,215,11,45,11
g361031102001,265,11,109,26
g361031102002,208,11,27,26
g361031102003,197,11,144,11
g361031102004,225,11,35,97
g361031102005,417,11,11,11
g361031103001,88,11,46,31
g361031103002,499,11,94,33
g361031103003,179,11,177,42
g361031103004,247,11,52,11
g361031103005,161,11,5,22
g361031104011,196,11,69,11
g361031104012,242,7,137,25
g361031104021,304,11,15,15
g361031104022,260,43,48,115
g361031105011,356,11,43,66
g361031105012,163,11,13,32
g361031105021,221,54,95,63
g361031105022,220,11,64,19
g361031106001,326,11,11,77
g361031106002,406,11,34,181
g361031106003,316,17,22,37
g361031106004,279,11,122,19
g361031106005,222,11,11,65
g361031108011,179,6,53,38
g361031108012,98,11,11,9
g361031108031,286,35,50,71
g361031108032,521,11,125,11
g361031108033,354,11,49,95
g361031108034,377,11,43,34
g361031109011,188,11,370,11
g361031109012,149,11,11,11
g361031109013,246,11,82,11
g361031109021,138,91,352,39
g361031109022,106,114,344,11
g361031109023,233,11,50,15
g361031110011,131,55,159,117
g361031110012,267,28,88,33
g361031110021,89,70,279,11
g361031110022,223,24,101,147
g361031110023,125,279,631,11
g361031110024,179,261,340,33
g361031111001,474,162,943,74
g361031111002,521,27,764,68
g361031111003,313,230,291,141
g361031111004,241,11,454,120
g361031111005,442,11,527,11
g361031112011,142,158,1028,11
g361031112012,303,179,421,11
g361031112013,265,45,23,126
g361031112021,401,331,306,46
g361031112022,113,11,219,11
g361031112023,217,91,206,95
g361031113001,306,25,39,73
g361031113002,224,11,99,12
g361031113003,203,112,11,11
g361031114011,164,28,37,9
g361031114021,330,145,76,37
g361031114022,424,11,112,67
g361031114023,212,11,164,63
g361031114024,231,11,47,89
g361031115031,177,88,24,35
g361031115032,339,620,173,37
g361031115033,225,13,34,46
g361031115041,123,56,47,138
g361031115051,363,250,203,42
g361031115052,137,249,137,59
g361031115053,98,125,328,77
g361031115054,207,352,471,53
g361031115061,232,22,66,142
g361031115062,168,260,219,126
g361031116011,261,82,161,25
g361031116012,289,28,78,29
g361031116021,266,11,53,24
g361031116022,264,112,55,11
g361031117011,240,26,140,11
g361031117012,275,11,195,11
g361031117013,220,11,11,60
g361031117014,278,11,93,14
g361031117015,337,11,122,11
g361031117031,179,11,137,70
g361031117032,210,11,118,68
g361031117041,244,27,48,22
g361031117042,165,11,34,18
g361031117043,207,11,77,11
g361031118011,298,11,2,139
g361031118012,461,11,11,251
g361031118013,437,11,71,152
g361031118014,194,11,108,11
g361031118021,184,11,38,7
g361031118022,175,34,16,32
g361031118031,166,11,165,84
g361031118032,174,142,57,113
g361031118041,170,11,39,131
g361031119001,199,16,68,29
g361031119002,233,11,37,81
g361031119003,164,11,19,11
g361031119004,240,11,112,118
g361031119005,349,16,64,23
g361031120011,251,64,196,96
g361031120012,363,48,99,175
g361031120021,300,78,176,46
g361031120022,197,63,15,11
g361031120023,197,11,161,74
g361031121021,354,33,123,196
g361031121022,290,48,112,37
g361031121031,206,11,55,11
g361031121032,289,61,98,24
g361031121033,306,20,139,32
g361031121041,249,61,67,166
g361031122041,202,11,67,11
g361031122042,251,16,96,20
g361031122043,205,11,102,63
g361031122061,438,177,244,261
g361031122062,352,11,84,11
g361031122063,370,55,181,260
g361031122064,200,11,11,122
g361031122101,338,77,68,151
g361031122102,431,59,53,96
g361031122103,394,93,11,364
g361031122104,496,59,95,103
g361031122111,375,142,174,140
g361031122112,267,157,135,108
g361031122113,258,11,24,20
g361031122121,207,48,11,106
g361031122122,320,167,171,229
g361031122131,326,93,226,153
g361031122132,208,167,84,107
g361031122133,225,174,10,137
g361031122141,487,11,91,264
g361031122142,432,579,21,235
g361031122143,441,17,27,40
g361031122144,259,230,41,146
g361031223001,241,37,280,98
g361031223002,271,77,391,65
g361031224031,172,248,66,68
g361031224032,55,238,114,7
g361031224041,253,89,223,43
g361031224042,256,58,173,11
g361031224051,118,314,167,54
g361031224052,118,207,11,70
g361031224061,115,470,308,11
g361031224062,55,370,330,11
g361031224063,38,330,277,11
g361031225011,52,311,232,31
g361031225012,62,278,311,11
g361031225013,36,300,243,11
g361031225021,90,495,389,11
g361031225022,116,235,141,11
g361031225023,62,287,62,11
g361031226011,232,208,168,117
g361031226012,255,16,209,105
g361031226013,285,84,259,101
g361031226021,298,212,157,109
g361031226022,370,22,110,136
g361031226031,307,234,198,42
g361031226032,444,52,146,11
g361031226033,227,11,57,75
g361031226034,264,143,137,58
g361031227041,70,182,291,11
g361031227042,151,83,50,49
g361031227051,223,42,81,13
g361031227052,155,43,141,70
g361031227061,334,68,91,11
g361031227062,287,153,112,213
g361031227063,143,11,11,56
g361031227071,266,23,137,237
g361031227072,220,11,107,147
g361031228011,314,331,119,187
g361031228012,277,33,277,43
g361031228013,140,80,11,11
g361031228014,267,683,135,136
g361031228021,160,158,153,169
g361031228022,249,74,120,11
g361031229011,463,11,270,72
g361031229012,379,15,51,43
g361031229013,251,11,114,81
g361031229014,324,13,315,73
g361031229021,351,151,169,60
g361031229022,231,9,84,21
g361031229023,374,56,142,11
g361031230011,275,199,254,53
g361031230012,321,149,226,62
g361031230013,385,11,243,48
g361031230014,338,21,217,11
g361031230021,285,40,202,90
g361031230022,154,82,220,11
g361031230023,248,11,173,74
g361031231011,255,26,130,27
g361031231012,253,11,83,43
g361031231013,302,98,254,31
g361031231021,221,96,160,11
g361031231022,293,68,99,49
g361031231023,224,11,142,11
g361031232011,161,111,178,84
g361031232021,23,395,472,11
g361031232022,186,171,65,350
g361031232023,11,443,1193,11
g361031232024,155,467,1068,11
g361031233011,179,431,399,21
g361031233012,52,391,509,102
g361031233013,50,283,65,11
g361031233014,89,458,236,11
g361031233015,11,569,419,11
g361031233016,173,132,486,11
g361031233021,27,216,247,11
g361031234011,252,60,194,83
g361031234012,303,59,302,30
g361031234013,289,11,82,66
g361031234021,440,95,83,71
g361031234022,455,11,192,11
g361031234023,368,192,146,11
g361031234024,110,33,466,70
g361031234025,371,71,129,109
g361031235001,189,405,283,46
g361031235002,287,62,341,18
g361031235003,300,27,378,48
g361031235004,362,61,194,11
g361031236001,201,11,99,72
g361031236002,165,11,43,11
g361031236003,199,11,77,28
g361031237011,302,102,639,11
g361031237012,183,158,558,52
g361031237013,296,79,348,75
g361031237014,95,240,384,11
g361031237021,613,28,975,122
g361031237022,286,170,435,75
g361031237023,263,21,379,61
g361031237024,469,406,167,151
g361031238011,232,32,175,49
g361031238012,477,11,21,11
g361031238013,383,273,79,21
g361031238021,246,11,73,11
g361031238022,307,38,152,11
g361031239001,291,54,263,11
g361031239002,202,11,91,29
g361031239003,200,17,120,27
g361031239004,290,330,236,143
g361031239005,164,11,11,11
g361031240011,388,11,343,94
g361031240012,316,143,200,50
g361031240013,100,17,57,11
g361031240021,279,25,211,15
g361031240022,317,11,99,16
g361031241011,485,2,162,11
g361031241012,359,11,168,11
g361031241013,427,18,229,11
g361031241021,292,11,57,11
g361031241022,328,11,301,11
g361031242001,282,11,246,11
g361031242002,289,11,11,11
g361031242003,237,34,88,2
g361031242004,446,11,104,12
g361031242005,377,11,255,230
g361031243001,353,11,123,217
g361031243002,240,33,237,241
g361031243003,326,75,25,11
g361031243004,420,11,113,11
g361031243005,204,6,6,28
g361031244011,185,14,15,11
g361031244012,288,40,36,11
g361031244013,368,21,234,72
g361031244021,243,11,38,19
g361031244022,321,11,17,11
g361031244023,286,11,11,11
g361031245001,271,39,140,13
g361031245002,201,11,73,11
g361031245003,222,11,32,72
g361031245004,263,29,317,267
g361031246011,183,54,72,11
g361031246012,184,11,24,14
g361031246013,164,11,32,11
g361031246021,180,11,19,11
g361031246022,226,11,90,65
g361031246023,204,16,55,66
g361031246024,167,70,109,11
g361031347021,463,11,252,37
