GEOID,B25004_001E,B25004_006E
g361031101011,43,16
g361031101012,50,21
g361031101021,27,0
g361031101022,34,0
g361031101023,13,0
g361031101024,0,0
g361031102001,15,15
g361031102002,97,0
g361031102003,15,0
g361031102004,0,0
g361031102005,43,0
g361031103001,10,0
g361031103002,0,0
g361031103003,22,12
g361031103004,16,0
g361031103005,6,0
g361031104011,6,0
g361031104012,16,16
g361031104021,0,0
g361031104022,64,29
g361031105011,60,60
g361031105012,24,24
g361031105021,58,10
g361031105022,0,0
g361031106001,17,17
g361031106002,44,0
g361031106003,49,0
g361031106004,74,34
g361031106005,60,0
g361031108011,53,42
g361031108012,57,20
g361031108031,42,0
g361031108032,29,29
g361031108033,29,0
g361031108034,48,0
g361031109011,29,29
g361031109012,27,0
g361031109013,0,0
g361031109021,24,0
g361031109022,77,0
g361031109023,23,0
g361031110011,11,0
g361031110012,0,0
g361031110021,0,0
g361031110022,49,6
g361031110023,0,0
g361031110024,0,0
g361031111001,0,0
g361031111002,20,0
g361031111003,0,0
g361031111004,0,0
g361031111005,0,0
g361031112011,69,0
g361031112012,8,0
g361031112013,0,0
g361031112021,101,0
g361031112022,55,0
g361031112023,0,0
g361031113001,66,25
g361031113002,0,0
g361031113003,0,0
g361031114011,35,0
g361031114021,0,0
g361031114022,9,0
g361031114023,0,0
g361031114024,35,0
g361031115031,0,0
g361031115032,37,0
g361031115033,63,0
g361031115041,0,0
g361031115051,7,0
g361031115052,20,0
g361031115053,10,0
g361031115054,32,0
g361031115061,0,0
g361031115062,0,0
g361031116011,23,0
g361031116012,46,0
g361031116021,27,0
g361031116022,26,0
g361031117011,0,0
g361031117012,30,0
g361031117013,0,0
g361031117014,0,0
g361031117015,7,0
g361031117031,0,0
g361031117032,24,0
g361031117041,0,0
g361031117042,0,0
g361031117043,20,0
g361031118011,38,0
g361031118012,30,0
g361031118013,5,0
g361031118014,0,0
g361031118021,19,0
g361031118022,35,0
g361031118031,0,0
g361031118032,0,0
g361031118041,0,0
g361031119001,0,0
g361031119002,54,0
g361031119003,0,0
g361031119004,9,9
g361031119005,33,0
g361031120011,0,0
g361031120012,53,0
g361031120021,57,26
g361031120022,0,0
g361031120023,53,0
g361031121021,0,0
g361031121022,24,0
g361031121031,0,0
g361031121032,29,0
g361031121033,51,25
g361031121041,24,0
g361031122041,0,0
g361031122042,0,0
g361031122043,0,0
g361031122061,45,0
g361031122062,0,0
g361031122063,0,0
g361031122064,53,0
g361031122101,0,0
g361031122102,38,0
g361031122103,40,0
g361031122104,17,0
g361031122111,25,25
g361031122112,7,0
g361031122113,24,0
g361031122121,7,0
g361031122122,0,0
g361031122131,0,0
g361031122132,26,0
g361031122133,0,0
g361031122141,38,0
g361031122142,0,0
g361031122143,73,37
g361031122144,0,0
g361031223001,0,0
g361031223002,0,0
g361031224031,16,0
g361031224032,45,0
g361031224041,15,0
g361031224042,0,0
g361031224051,30,0
g361031224052,7,0
g361031224061,30,0
g361031224062,33,0
g361031224063,66,0
g361031225011,17,0
g361031225012,75,0
g361031225013,0,0
g361031225021,23,0
g361031225022,19,0
g361031225023,0,0
g361031226011,77,0
g361031226012,54,0
g361031226013,0,0
g361031226021,0,0
g361031226022,9,0
g361031226031,54,0
g361031226032,7,0
g361031226033,0,0
g361031226034,0,0
g361031227041,24,0
g361031227042,0,0
g361031227051,32,9
g361031227052,11,0
g361031227061,22,0
g361031227062,0,0
g361031227063,38,0
g361031227071,0,0
g361031227072,0,0
g361031228011,0,0
g361031228012,0,0
g361031228013,0,0
g361031228014,28,0
g361031228021,38,0
g361031228022,39,0
g361031229011,0,0
g361031229012,37,0
g361031229013,0,0
g361031229014,40,0
g361031229021,26,0
g361031229022,0,0
g361031229023,23,0
g361031230011,0,0
g361031230012,0,0
g361031230013,19,0
g361031230014,30,0
g361031230021,35,9
g361031230022,19,0
g361031230023,32,0
