GEOID,B25004_006M
g361031101011,18
g361031101012,31
g361031101021,11
g361031101022,11
g361031101023,11
g361031101024,11
g361031102001,26
g361031102002,11
g361031102003,11
g361031102004,11
g361031102005,11
g361031103001,11
g361031103002,11
g361031103003,19
g361031103004,11
g361031103005,11
g361031104011,11
g361031104012,24
g361031104021,11
g361031104022,46
g361031105011,58
g361031105012,40
g361031105021,15
g361031105022,11
g361031106001,27
g361031106002,11
g361031106003,11
g361031106004,41
g361031106005,11
g361031108011,32
g361031108012,14
g361031108031,11
g361031108032,32
g361031108033,11
g361031108034,11
g361031109011,39
g361031109012,11
g361031109013,11
g361031109021,11
g361031109022,11
g361031109023,11
g361031110011,11
g361031110012,11
g361031110021,11
g361031110022,10
g361031110023,11
g361031110024,11
g361031111001,11
g361031111002,11
g361031111003,11
g361031111004,11
g361031111005,11
g361031112011,11
g361031112012,11
g361031112013,11
g361031112021,11
g361031112022,11
g361031112023,11
g361031113001,38
g361031113002,11
g361031113003,11
g361031114011,11
g361031114021,11
g361031114022,11
g361031114023,11
g361031114024,11
g361031115031,11
g361031115032,11
g361031115033,11
g361031115041,11
g361031115051,11
g361031115052,11
g361031115053,11
g361031115054,11
g361031115061,11
g361031115062,11
g361031116011,11
g361031116012,11
g361031116021,11
g361031116022,11
g361031117011,11
g361031117012,11
g361031117013,11
g361031117014,11
g361031117015,11
g361031117031,11
g361031117032,11
g361031117041,11
g361031117042,11
g361031117043,11
g361031118011,11
g361031118012,11
g361031118013,11
g361031118014,11
g361031118021,11
g361031118022,11
g361031118031,11
g361031118032,11
g361031118041,11
g361031119001,11
g361031119002,11
g361031119003,11
g361031119004,15
g361031119005,11
g361031120011,11
g361031120012,11
g361031120021,41
g361031120022,11
g361031120023,11
g361031121021,11
g361031121022,11
g361031121031,11
g361031121032,11
g361031121033,41
g361031121041,11
g361031122041,11
g361031122042,11
g361031122043,11
g361031122061,11
g361031122062,11
g361031122063,11
g361031122064,11
g361031122101,11
g361031122102,11
g361031122103,11
g361031122104,11
g361031122111,40
g361031122112,11
g361031122113,11
g361031122121,11
g361031122122,11
g361031122131,11
g361031122132,11
g361031122133,11
g361031122141,11
g361031122142,11
g361031122143,61
g361031122144,11
g361031223001,11
g361031223002,11
g361031224031,11
g361031224032,11
g361031224041,11
g361031224042,11
g361031224051,11
g361031224052,11
g361031224061,11
g361031224062,11
g361031224063,11
g361031225011,11
g361031225012,11
g361031225013,11
g361031225021,11
g361031225022,11
g361031225023,11
g361031226011,11
g361031226012,11
g361031226013,11
g361031226021,11
g361031226022,11
g361031226031,11
g361031226032,11
g361031226033,11
g361031226034,11
g361031227041,11
g361031227042,11
g361031227051,14
g361031227052,11
g361031227061,11
g361031227062,11
g361031227063,11
g361031227071,11
g361031227072,11
g361031228011,11
g361031228012,11
g361031228013,11
g361031228014,11
g361031228021,11
g361031228022,11
g361031229011,11
g361031229012,11
g361031229013,11
g361031229014,11
g361031229021,11
g361031229022,11
g361031229023,11
g361031230011,11
g361031230012,11
g361031230013,11
g361031230014,11
g361031230021,14
g361031230022,11
g361031230023,11
g361031231011,11
g361031231012,11
g361031231013,11
g361031231021,11
